PDB ID	Entry	Cross-reference (ChEMBL)	Cross-reference (BindingDB)	Protein names
4zow	P0AEY8	CHEMBL4785;	P0AEY8;	Multidrug transporter MdfA (Chloramphenicol resistance pump Cmr)
4yc0	A3UNN4			Putative NAD(+)--arginine ADP-ribosyltransferase Vis (EC 2.4.2.31) (Putative mono(ADP-ribosyl)transferase) (mADPRT) (mART) (Toxin Vis)
1gny	Q59675			Endo-beta-1,4-xylanase Xyn10C (Xylanase 10C) (EC 3.2.1.8) (XYLF)
1evh,4cc3	Q03173			Protein enabled homolog (NPC-derived proline-rich protein 1) (NDPP-1)
5dqe,5dq8	Q15562			Transcriptional enhancer factor TEF-4 (TEA domain family member 2) (TEAD-2)
1m2x	O08498	CHEMBL1667692;		Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Carbapenem-hydrolyzing beta-lactamase BlaB-1) (CHbetaL-1) (Class B carbapenemase BlaB-1) (Metallo-beta-lactamase type II)
1om9	Q7Z6B0			Coiled-coil domain-containing protein 91 (GGA-binding partner) (p56 accessory protein)
2toh	P04177	CHEMBL2462;	P04177;	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)
2v2v,2v2q	O67060			4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)
2vt3	O05521			Redox-sensing transcriptional repressor Rex
2xg9	P16098	CHEMBL4371;	P16098;	Beta-amylase (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase)
3a9i	O87198			Homocitrate synthase (HCS) (EC 2.3.3.14)
3c8e	Q46845			Disulfide-bond oxidoreductase YghU (EC 1.8.4.-) (GSH-dependent disulfide-bond oxidoreductase YghU) (GST N2-2) (Organic hydroperoxidase) (EC 1.11.1.-)
3q8h	Q63T71	CHEMBL3091270;	Q63T71;	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)
5njx	Q96HX7			HSP90AA1 protein (Fragment)
6h0b	Q8N4A0			Polypeptide N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Polypeptide GalNAc transferase 4) (GalNAc-T4) (pp-GaNTase 4) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4)
3d3x	Q9K395			Type E botulinum toxin
5epp	Q8TEB9			Rhomboid-related protein 4 (RRP4) (EC 3.4.21.105) (Rhomboid domain-containing protein 1) (Rhomboid-like protein 4)
6f55	A0A1D5PXA5			Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Vanilloid receptor-related osmotically activated channel) (VR-OAC)
6f55	Q1G1I6			PACSIN 3
4azt	J7I4B7			O-antigen chain terminator bifunctional methyltransferase/kinase WbdD [Includes: 3-O-phospho-polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 3-phospho-methyltransferase (EC 2.1.1.294); Polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase (EC 2.7.1.181)]
4b9w	Q8CDG1			Piwi-like protein 2 (EC 3.1.26.-)
4b9w	Q99MV1			Tudor domain-containing protein 1
4oma	Q84AR1			L-methionine gamma-lyase (EC 4.4.1.11)
5ldo,5ldm,5ldk,5ldp	A0A140NFI1			RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58)
6c28	Q6N8V9			Transcriptional regulator, MarR family
2lh8	P04273	CHEMBL1293203;	P04273;	Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230)
3q2j	P0A3Y5			Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (APH(3')III) (Kanamycin kinase, type III) (Neomycin-kanamycin phosphotransferase type III)
5o0a,5o0b	B1MDL6			Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
5yyz	P20050			Meiosis-specific protein HOP1
5yyz	P24719			Meiosis-specific serine/threonine-protein kinase MEK1 (EC 2.7.11.1)
6f8g	P70118			Pancreas/duodenum homeobox protein 1 (Homeodomain protein PDX1) (Insulin promoter factor 1) (IPF-1)
1k3t	P22513	CHEMBL5926;	P22513;	Glyceraldehyde-3-phosphate dehydrogenase, glycosomal (GAPDH) (EC 1.2.1.12)
2pl9,2pmc	P07800			Protein phosphatase CheZ (EC 3.1.3.-) (Chemotaxis protein CheZ)
2pl9,2pmc	P0A2D5			Chemotaxis protein CheY
3nok	E7FH78			Glutaminyl Cyclase (EC 2.3.2.5)
2x4s	Q33CG5			Nucleoprotein (Fragment)
3hqh	O75367			Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)
3rg2	P0ADI4			Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: Isochorismatase (EC 3.3.2.1) (2,3-dihydro-2,3-dihydroxybenzoate synthase) (Isochorismate lyase); Aryl carrier protein (ArCP)]
3rg2	P10378	CHEMBL4856;	P10378;	Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP ligase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC 2.7.7.58) (Dihydroxybenzoic acid-activating enzyme) (Enterochelin synthase E) (S-dihydroxybenzoyltransferase) (EC 2.5.1.-)
5odu,5ofx,5ofi	Q7N561			Lectin A (Alpha-galactoside-binding lectin) (Galactose-binding lectin PllA)
5ofu	O97193			Fructose-bisphosphatase (EC 3.1.3.11)
1odj,1odi	Q5SID9			Purine nucleoside phosphorylase
1yon	P0A9J4	CHEMBL4855;	P0A9J4;	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)
2j83	Q8TL28			Ulilysin (EC 3.4.24.-)
3sov	Q9BQB4	CHEMBL3580487;		Sclerostin
5jcb	F2Z508			Stathmin-4
5t70,5t6z	P43629			Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (MHC class I NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e)
1aze	P26675			Protein son of sevenless
1ua4	Q9V2Z6			ADP-dependent glucose/glucosamine kinase (EC 2.7.1.-) (EC 2.7.1.147) (ADP-dependent glucokinase) (ADP-GK) (ADPGK) (Glucosamine kinase) (GlcN kinase)
2kzu	Q9NS23			Ras association domain-containing protein 1
2kzu	Q9UER7			Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)
2l65	Q8KNF0			CalC
3kyq	Q5EGY4			Synaptobrevin homolog YKT6 (EC 2.3.1.-)
4k64,4k66,4k67,4k63	A8HWY8			Hemagglutinin (Fragment)
4mo4	Q9I5Q5			Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)
4oak	Q9JN36			D,D-dipeptidase/D,D-carboxypeptidase (D,D-dipeptidase/D,D-carboxypeptidase VanXYc) (D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C) (D-alanyl-D-alanine carboxypeptidase)
6dlx,6cvd,5niy	P10121			Signal recognition particle receptor FtsY (SRP receptor)
5tig	Q01468			2-hydroxymuconate tautomerase (EC 5.3.2.6) (4-oxalocrotonate tautomerase) (4-OT)
3zqe	P41784			Protein PrgI
3zqe	Q56026			Cell invasion protein SipD (Salmonella invasion protein D)
4x3h	O88602			Voltage-dependent calcium channel gamma-2 subunit (Neuronal voltage-gated calcium channel gamma-2 subunit) (Stargazin) (Transmembrane AMPAR regulatory protein gamma-2) (TARP gamma-2)
4x3i,4x3h	Q63053			Activity-regulated cytoskeleton-associated protein (Activity-regulated gene 3.1 protein) (ARC/ARG3.1) (Arg3.1)
5umw	A0A125SA26			Glyoxalase (Glyoxalase/bleomycin resisance protein/dioxygenase)
2vvo,2bet,2bes	P9WKD7	CHEMBL1770044;	P9WKD7;	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)
2ksp	Q8N3F8			MICAL-like protein 1 (Molecule interacting with Rab13) (MIRab13)
2kfh,2kfg,2kff,2ksp	Q9H4M9	CHEMBL4295942;	Q9H4M9;	EH domain-containing protein 1 (PAST homolog 1) (hPAST1) (Testilin)
2x52	P10969			Agglutinin isolectin 3 (WGA3) (Fragment)
3h78	P20582			Anthraniloyl-CoA anthraniloyltransferase (EC 2.3.1.262) (2-heptyl-4(1H)-quinolone synthase PqsD) (PqsD)
5ajc	A0A0S4TLR1			Fucose-binding lectin protein (Putative fucose-binding lectin protein)
1juq	P20645	CHEMBL5788;	P20645;	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)
2mji	P12104	CHEMBL4879;	P12104;	Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)
5b2d	Q9WAF5			HN protein (Hemagglutinin-neuraminidase)
5j4n	P60061			Arginine/agmatine antiporter
1u8t	P06974			Flagellar motor switch protein FliM
1u8t	P0AE67			Chemotaxis protein CheY
2qrl,2qrk	P38998			Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)
1g6r	P01852			T-cell receptor beta-1 chain C region
1m5w	P0A794			Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)
4aoc	A0A0H2Y045			PA-IIL domain-containing protein
4h36	P15336			Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1)
1i5h	P37090			Amiloride-sensitive sodium channel subunit beta (Beta-NaCH) (Epithelial Na(+) channel subunit beta) (Beta-ENaC) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)
2n8t,1i5h	Q62940			E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)
2jo9	P13285			Latent membrane protein 2 (Terminal protein)
2jo9	Q8C863			E3 ubiquitin-protein ligase Itchy (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase Itchy homolog)
2x09,2vzr	Q56F26			Exo-beta-D-glucosaminidase (GlcNase) (EC 3.2.1.165) (Exochitinase)
3tzd	P10412			Histone H1.4 (Histone H1b) (Histone H1s-4)
4fak	P0C1V0			Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)
5jzs,5jzb,2wuf	P9WNH5			4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase (EC 3.7.1.17) (2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase) (HOPDA hydrolase) (EC 3.7.1.8) (Meta-cleavage product hydrolase) (MCP hydrolase)
4i3z	P51943			Cyclin-A2 (Cyclin-A)
1qm4	P13444	CHEMBL2195;	P13444;	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III)
1xsc	P50583	CHEMBL4105863;	P50583;	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.17) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nucleoside diphosphate-linked moiety X motif 2) (Nudix motif 2)
2csm	P32178			Chorismate mutase (CM) (EC 5.4.99.5)
2exg	P55196			Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)
2rkd,3moh,2rka,3mof,2rk8,2rk7,2rke,3moe	P07379	CHEMBL1075234;	P07379;	Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)
3obx,3obu	Q72497			Gag polyprotein
4k7i,4k7n,4mmm,4k7o	P30044	CHEMBL3627586;		Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)
4o4k,4o24,4o43,4o5g	Q9X1X0			Nuclease SbcCD subunit D
4b4n,4wym,4u0a,4u0b	Q16630			Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)
4xhv	M9NFI9			Spinophilin, isoform J
4xhv	Q3KN41			LP14275p (Neurexin 1, isoform B) (Neurexin 1, isoform D) (Neurexin 1, isoform H) (Neurexin 1, isoform I)
4zmf,4zme	P42527			Myosin heavy chain kinase A (MHCK-A) (EC 2.7.11.7)
5zku,5zla	B8HDZ1			Inulin fructotransferase (DFA-I-forming) (EC 4.2.2.17)
6ey7	P16732	CHEMBL3991482;		Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)
6fdt	P0DMV9	CHEMBL3885585;	P0DMV9;	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)
1ajp,1ai4,1ajn,1ai5,1ai6,1ai7,1ajq	P06875			Penicillin G acylase (EC 3.5.1.11) (Penicillin G amidase) (Penicillin G amidohydrolase) [Cleaved into: Penicillin G acylase subunit alpha; Penicillin G acylase subunit beta]
2tpi	P00974			Pancreatic trypsin inhibitor (Aprotinin) (Basic protease inhibitor) (BPI) (BPTI)
3q5u	Q9NRQ2			Phospholipid scramblase 4 (PL scramblase 4) (Ca(2+)-dependent phospholipid scramblase 4) (Cell growth-inhibiting gene 43 protein) (TRA1)
4ny3	Q15257	CHEMBL2505;	Q15257;	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (PP2A, subunit B', PR53 isoform) (Phosphotyrosyl phosphatase activator) (PTPA) (Serine/threonine-protein phosphatase 2A regulatory subunit 4) (Serine/threonine-protein phosphatase 2A regulatory subunit B')
4u0c,4u0d	P49790			Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)
4u68	Q7JXA8			RE36324p (Rhino)
5ogl	B9KDD4			Undecaprenyl-diphosphooligosaccharide--protein glycotransferase (EC 2.4.99.19) (Protein glycosylation B)
1gu3	P14090			Endoglucanase C (EC 3.2.1.4) (Cellulase C) (Endo-1,4-beta-glucanase C)
2bv4,2boi	Q7NX84			PA-IIL domain-containing protein
3c3q	Q9H444			Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2)
4uce,4ucd,4ucc	P03418	CHEMBL4105793;	P03418;	Nucleoprotein (Protein N) (Nucleocapsid protein)
4cc2,4cc7	O00401			Neural Wiskott-Aldrich syndrome protein (N-WASP)
4cc3,4cc2,4cc7	Q6XZF7	CHEMBL4295871;		Dynamin-binding protein (Scaffold protein Tuba)
4zcs	Q8IEE9			Choline-phosphate cytidylyltransferase (EC 2.7.7.15)
5ods	Q68FD5			Clathrin heavy chain 1
5ods	Q9Y6A5			Transforming acidic coiled-coil-containing protein 3 (ERIC-1)
6exj	P30680	CHEMBL2978;	P30680;	Somatostatin receptor type 2 (SS-2-R) (SS2-R) (SS2R) (SRIF-1)
4nxr	P58401			Neurexin-2-beta (Neurexin II-beta)
4yxd	A5GZW8	CHEMBL2366564;	A5GZW8;	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (CII-4) (QPs3) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone oxidoreductase cytochrome b small subunit) (Succinate-ubiquinone reductase membrane anchor subunit)
4yxd	D0VWV4	CHEMBL2366564;	D0VWV4;	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Succinate-ubiquinone oxidoreductase cytochrome B large subunit) (CYBL)
4yxd	Q007T0	CHEMBL2366485;		Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)
4yxd	Q0QF01			Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)
5gof,5goe	Q8IWA4			Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1)
5yc1	Q9BUZ4			TNF receptor-associated factor 4 (Cysteine-rich domain associated with RING and Traf domains protein 1) (Metastatic lymph node gene 62 protein) (MLN 62) (RING finger protein 83)
1yfz	Q8R7L0			Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)
3feg	Q9Y259	CHEMBL3112385;	Q9Y259;	Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Choline kinase-like protein) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (Ethanolamine kinase beta) (EKB) (choline/ethanolamine kinase beta) (CKEKB)
4a2a	O08398			Cell division protein FtsZ
4a2a	Q9WZU0			Cell division protein FtsA
4j82	Q9Y5U4			Insulin-induced gene 2 protein (INSIG-2)
5erg	P41814			tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (General control non-derepressible protein 10) (Protein GCD10) (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6)
5erg	P46959			tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61 (EC 2.1.1.220) (General control non-derepressible protein 14) (Protein GCD14) (tRNA(m1A58)-methyltransferase subunit TRM61) (tRNA(m1A58)MTase subunit TRM61)
5a7c,6bgg,5hjc	Q15059	CHEMBL1795186;	Q15059;	Bromodomain-containing protein 3 (RING3-like protein)
3zst,4u2y,5vsj,5vt4	Q9L1K2			Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1 (GMPMT 1) (EC 2.4.99.16) ((1->4)-alpha-D-glucan:maltose-1-phosphate alpha-D-maltosyltransferase 1)
1dy4	P62694			Exoglucanase 1 (EC 3.2.1.91) (1,4-beta-cellobiohydrolase) (Cellobiohydrolase 7A) (Cel7A) (Exocellobiohydrolase I) (CBHI) (Exoglucanase I)
1n5z	P53112			Peroxisomal membrane protein PEX14 (Peroxin-14)
1n5z	P80667			Peroxisomal membrane protein PAS20 (Peroxin-13)
4bqs,1we2	P9WPY3			Shikimate kinase (SK) (EC 2.7.1.71)
2fys	Q64346	CHEMBL5511;	Q64346;	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)
5mk1,3c3o	Q9BY43			Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)
1ew8,1ew9,3dpc	P00634	CHEMBL4217;		Alkaline phosphatase (APase) (EC 3.1.3.1)
6fer	Q16832	CHEMBL5122;	Q16832;	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)
1bug	Q9ZP19			Polyphenol oxidase I, chloroplastic (PPO-I) (EC 1.10.3.1) (Catechol oxidase I)
2zif	Q5SL84			Methyltransferase (EC 2.1.1.-)
5cuu	Q4JH30			Inorganic diphosphatase (EC 3.6.1.1)
1p7m	P05100	CHEMBL2295563;	P05100;	DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)
3guz	P31663			Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)
3nfl	Q12879	CHEMBL1972;	Q12879;	Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)
5hfj	O24891			Methyltransferase (EC 2.1.1.-)
6eu6	Q1Q357			Ammonium transporter
1btn	Q62261			Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Embryonic liver fodrin) (Fodrin beta chain)
1jmq	Q96G27			WW domain-binding protein 1 (WBP-1)
3l6x	O60716			Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))
3l6x	P12830	CHEMBL2321609;		Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]
3va4	Q5PSV9			Mediator of DNA damage checkpoint protein 1
3wgg	D5KM69			Redox-sensing transcriptional repressor Rex
4pl0	Q9X2W0			Microcin-J25 export ATP-binding/permease protein McjD (Microcin-J25 immunity protein) (Microcin-J25 secretion ATP-binding protein McjD)
5aer	P14416	CHEMBL217;	P14416;	D(2) dopamine receptor (Dopamine D2 receptor)
5aer	P62168			Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog) (Frequenin-like protein) (Frequenin-like ubiquitous protein)
5l44	A0A1L1QK30			K-26 dipeptidyl carboxypeptidase
1l6y,1i8j,1l6s	P0ACB2	CHEMBL3286083;	P0ACB2;	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)
2csn	P40233			Casein kinase I homolog 1 (EC 2.7.11.1)
5a5z,4exs	C7C422	CHEMBL1667695;	C7C422;	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1)
2vw2,2vw1,4fpk,4fpf	Q54727	CHEMBL4295604;		Sialidase B (EC 3.2.1.18) (Neuraminidase B)
4qn9	Q6IQ20			N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (N-acyl phosphatidylethanolamine phospholipase D) (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54)
4usj,4usi	A8JI83			Nitrogen regulatory protein PII
2vr0	Q72EF3			Cytochrome c nitrite reductase subunit NrfA (cNiR subunit NrfA) (EC 1.7.2.2) (Cytochrome c-type protein NrfA)
2vr0	Q72EF4			Cytochrome c nitrite reductase subunit NrfH (cNiR subunit NrfH) (Cytochrome c quinol dehydrogenase NrfH) (Cytochrome c-type protein NrfH)
3qvu,2d06,3qvv	P50225	CHEMBL1743291;	P50225;	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase 1) (HAST1/HAST2) (Phenol sulfotransferase 1) (Phenol-sulfating phenol sulfotransferase 1) (P-PST 1) (ST1A3) (Thermostable phenol sulfotransferase) (Ts-PST)
3zxe,5h9s,5h9q	P47929	CHEMBL5008;	P47929;	Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein)
5mka,5m28,5mk9	B0L7B0			MalE1
6h8s	P54830			Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP)
2we3	P03195			Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)
2zgm,3afk,3m3o,3m3c,3m3e	Q6WY08			Anti-tumor lectin (EC 3.1.21.-) (AAL) (Fragment)
4axd	Q93YN9		Q93YN9;	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (AtIPK1) (InsP5 2-kinase)
4ibc,4ibb,4ibd,4ibg,4ibi,4ibe,4ibk,4ibj,4ibf	Q05127			Polymerase cofactor VP35 (Ebola VP35) (eVP35)
4mnq	O14746	CHEMBL2916;	O14746;	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)
4mnq	H2RG00			Ig-like domain-containing protein
4mnq	K7N5N2			T-cell receptor, sp3.4 alpha chain (T-cell receptor, sp3.4 beta chain)
4xhl	P29295			Casein kinase I homolog HRR25 (EC 2.7.11.1)
4ykk,4ykj	A0A0R4I973			ML032222a iGluR
5h5f	Q12314			Protein arginine N-methyltransferase SFM1 (EC 2.1.1.-) (SPOUT family methyltransferase 1)
5tus	P23921	CHEMBL1830;	P23921;	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)
5w1v	P16780			Protein UL40
4hcz	Q6TXQ4			H3L-like histone (Fragment)
3atp	P02942			Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)
4g2r	P9WQH5			Biotin-dependent acetyl-/propionyl-coenzyme A carboxylase beta6 subunit (Acetyl-CoA carboxylase) (ACC) (EC 2.1.3.15) (Propionyl-CoA carboxylase) (PCC) (EC 2.1.3.-)
5gow	P32780			General transcription factor IIH subunit 1 (Basic transcription factor 2 62 kDa subunit) (BTF2 p62) (General transcription factor IIH polypeptide 1) (TFIIH basal transcription factor complex p62 subunit)
5gow	Q14186			Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)
1qvt,1qvu	P0A0N4			HTH-type transcriptional regulator QacR
1wvc	Q8Z5I4	CHEMBL3745591;	Q8Z5I4;	Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33) (CDP-glucose pyrophosphorylase)
2h9p,2h9n,2h9m	Q6P823			Histone H3.3
2j4q	P28248			dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)
2w2u	Q4J924			Cell division protein B (ESCRT-III homolog)
2w2u	Q877H3			AAA family ATPase (Hypothetical p60 katanin)
3tsz	Q9Y624			Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321)
5c3p	Q7RYZ9			Thymine dioxygenase
5jox	A7LXT8			Non-reducing end alpha-L-arabinofuranosidase BoGH43A (EC 3.2.1.55) (Glycosyl hydrolase family protein 43A) (BoGH43A)
4lh6,4lh7	Q837V6			DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])
4odq	P0A7V3			30S ribosomal protein S3 (Small ribosomal subunit protein uS3)
