pdbid	uniprot_id_for_pdbid
2xpb	Q13526
2xru	O14965
2xu3	P07711
2xu5	P07711
2xvd	P54760
2xwe	P04062
2xwy	P26663
2xxy	P42260
2xyn	P42684
2xzg	Q00610
2y0j	Q9Y233
2y1g	P9WNS1
2y1w	Q86X55
2y1x	Q86X55
2y54	Q8WSF8
2y56	Q8WSF8
2y57	Q8WSF8
2y5f	P00742
2y5g	P00742
2y5h	P00742
2y6c	P09237
2y6d	P09237
2y71	P9WPX7
2y77	P9WPX7
2y7x	P00742
2y7z	P00742
2y80	P00742
2y81	P00742
2y82	P00742
2y8c	Q8II92
2ya6	P62575
2yaz	O15826
2yb0	O15826
2yb9	P08473
2ybk	O75164
2ybp	O75164
2ycm	P69834
2ydi	O14757
2ydj	O14757
2ydk	O14757
2ydm	P12821
2ydo	P29274
2ydv	P29274
2ydw	P25440
2yek	P25440
2yel	O60885
2yem	O60885
2yer	O14757
2yex	O14757
2yfe	P37231
2yhd	P10275
2yi0	P07900
2yi7	P07900
2yig	P45452
2yis	Q16539
2yiw	Q16539
2yix	Q16539
2yj2	P07711
2yj8	P07711
2yj9	P07711
2yjb	P07711
2yjc	P07711
2yjw	P07900
2ylo	P10275
2ylq	P10275
2ym3	O14757
2ym4	O14757
2ym5	O14757
2ym6	O14757
2ym7	O14757
2ym8	O14757
2yof	Q8I4S1
2yoh	Q8I4S1
2yol	P06935
2ywp	O14757
2yxj	Q07817
2z4b	Q92731
2z7g	P56658
2z7r	Q15418
2za0	Q9CPU0
2za3	Q8T6J6
2zaz	Q16539
2zb0	Q16539
2zb1	Q16539
2zc9	P00734
2zda	P00734
2zdk	P00760
2zdn	P00760
2zdz	P56817
2ze1	P56817
2zfp	P00734
2zgx	P00734
2zjf	P95276
2zjw	P68400
2zm3	P08069
2zmd	P33981
2zmj	P13053
2zmm	P18031
2zns	P39086
2znt	P39086
2zo3	P00734
2zp0	P13726,P08709
2zu3	P03313
2zu5	P0C6U8
2zv2	Q96RR4
2zy1	A9JQL9
2zyb	P06239
2zz1	O26232
3a29	P09467
3a4o	P07948
3a4p	P08581
3ads	P37231
3adu	P37231
3ai8	P07858
3amv	P00489
3anr	Q13627
3ans	P34913
3ant	P34913
3aox	Q9UM73
3ap7	O00214
3aqa	P25440
3ara	P33316
3arn	P33316
3asx	P37268
3at4	P68400
3b0w	P51449
3b1m	Q9UBK2,P37231
3b1t	Q9UM07
3b1u	Q9UM07
3b25	P07900
3b26	P07900
3b27	P07900
3b28	P07900
3b2w	P06239
3b3x	P00808
3b4f	P00918
3b66	P10275
3b68	P10275
3b7u	P09960
3b8q	P35968
3b8r	P35968
3b92	P78536
3bbt	Q15303
3bc5	P37231
3be2	P35968
3be9	P28523
3bea	P07333,Q02763
3bel	P00533
3bet	P00918
3bgp	P11309
3bgq	P11309
3bgz	P11309
3bi0	Q04609
3bi6	P30291
3biz	P30291
3bjc	O76074
3bjm	P27487
3bkk	P12821
3bkl	P12821
3bl1	P00918
3bl7	Q96C86
3bl9	Q96C86
3bla	Q96C86
3blr	O60563,P50750
3bm9	P07900
3bmy	P07900
3bqc	P68400
3bv2	Q16539
3bv3	Q16539
3bv9	P00734
3bvb	P03367
3bx5	Q16539
3bym	P06239
3byo	P06239
3bys	P06239
3byu	P06239
3bz3	Q05397
3bzi	P30307,P53350
3c10	Q8WUI4
3c1x	P08581
3c43	P27487
3c45	P27487
3c49	Q9Y6F1
3c4f	P11362
3c4h	Q9Y6F1
3c56	P56109
3c5u	Q16539
3c7q	P35968
3c84	Q8WSF8
3c9e	P43235
3caj	P00918
3cbp	Q8WTS6,P03372
3ccb	P27487
3ccc	P27487
3ccn	P08581
3cct	P04035
3ccw	P04035
3ccz	P04035
3cd0	P04035
3cd5	P04035
3cd7	P04035
3cd8	P08581
3cda	P04035
3cdb	P04035
3ce3	P08581
3cen	P00742
3cfn	P02766
3cft	P02766
3cgo	P53779
3cgy	P0DM80
3chd	Q873X9
3cho	P09960
3chp	P09960
3chq	P09960
3chr	P09960
3chs	P09960
3cib	P56817
3cic	P56817
3cid	P56817
3cjf	P35968
3cjo	P52732
3ckp	P56817
3ckr	P56817
3cm2	P98170
3cm7	P98170
3cn0	P02766
3coh	O14965
3cow	P9WIL5
3coy	P9WIL5
3cp9	P35968
3cpb	P35968
3cqu	P31749,P49841
3cqw	P31749,P49841
3cs7	P00742
3cth	P08581
3ctj	P08581
3ctt	O43451
3cwe	P18031
3czv	Q8N1Q1
3d0e	P31751
3d2t	P02766
3d3p	Q07343
3d4l	P27487
3d6q	P61823
3d7b	P61823
3d7f	Q04609
3d7g	Q04609
3d7h	Q04609
3d7z	Q16539
3d83	Q16539
3d8w	P00918
3d8y	P61823
3d8z	P61823
3d91	P00797
3d94	P08069
3da6	P53779
3da9	P00734
3dbs	P48736
3dbu	P00918
3dc3	P00918
3dcc	P00918
3dcs	P00918
3dct	Q96RI1,Q15788
3dcv	P11309
3dcw	P00918
3dd0	P00918
3dd8	P00918
3ddq	P30274,P24941
3deh	P42574
3dei	P42574
3dej	P42574
3dek	P42574
3dgq	P09211
3dhk	P00734
3djo	P00669
3djq	P00669
3djv	P00669
3dkf	P08581
3dln	P19492
3dng	P22894
3dog	P30274,P24941
3dp9	Q9KPI8
3dpd	P48736
3dpe	P22894
3dpk	P07333,P11362
3ds6	Q16539
3dt1	Q16539
3du8	P49841
3dux	P00734
3duy	P56817
3dv1	P56817
3dv5	P56817
3dy6	Q03181
3dz2	P17707
3dz4	P17707
3dz5	P17707
3dz6	P17707
3e0p	Q16651
3e16	Q16651
3e2m	P20701
3e3b	P19784
3e3u	P9WIJ3
3e4a	P14735
3e5a	Q9ULW0,O14965
3e62	O60674
3e63	O60674
3e64	O60674
3e8n	Q02750
3e8r	P78536
3e90	P06935
3e92	Q16539
3e93	Q16539
3ebh	O96935
3ecn	O60658
3efj	P08581
3efk	P08581
3efw	O14965
3ehx	P39900
3eid	P20248,P24941
3eig	P00374
3eio	P27487
3ej1	P20248,P24941
3ekn	P06213
3ekp	P03369
3ekv	P03369
3el8	P00523
3elj	P45983
3elm	P45452
3emg	P43405
3emh	Q03164,P61964
3eoc	P20248,P24941
3eqr	Q07912
3ert	P03372
3et7	Q14289
3ewh	P35968
3ewj	P78536
3ewz	P11172
3exo	P56817
3eyg	P23458
3eyl	P98170
3ezr	P24941
3ezv	P24941
3f07	Q9BY41
3f0r	Q9BY41
3f16	P39900
3f17	P39900
3f18	P39900
3f2a	P11309
3f3t	P00523
3f3u	P00523
3f3v	P00523
3f3w	P00523
3f5p	P08069
3f66	P08581
3f68	P00734
3f69	P9WI81
3f7b	P22748
3f7u	P22748
3f7z	P49841
3f82	P08581
3f88	P49841
3f8e	P00918
3f8s	P27487
3f9n	O14757
3faa	P36897
3fas	P19493
3fc2	P53350
3ff6	O00763
3ffg	P00742
3ffp	P00918
3fh5	P09960
3fh7	P09960
3fh8	P09960
3fhe	P09960
3fhr	Q16644
3fi3	P53779
3fjz	P0A6D3
3fl9	Q81R22
3fmz	P02753
3fpd	Q9H9B1
3fqe	P43405
3fqh	P43405
3fqs	P43405
3fr4	P15090
3fr5	P15090
3frg	Q07343
3fts	P09960
3ftu	P09960
3ftv	P09960
3fty	P09960
3fu0	P09960
3fu3	P09960
3fu5	P09960
3fu6	P09960
3fuc	P55859
3fud	P09960
3fue	P09960
3fui	P09960
3fuk	P09960
3fun	P09960
3fup	O60674
3fur	P37231,Q15788
3fuz	P39086
3fv8	P53779
3fw3	P22748
3fwv	P08238
3fxv	Q96RI1,Q15788
3fxw	Q16644
3fyj	P49137
3fyk	P49137
3fzr	Q14289
3fzs	Q14289
3fzt	Q14289
3g0b	P27487
3g0c	P27487
3g0d	P27487
3g0e	P10721
3g0f	P10721
3g0g	P27487
3g0w	P15207
3g1d	O26232
3g1m	P9WMC1
3g1v	O26232
3g2h	P00489
3g2i	P00489
3g2j	P00489
3g2k	P00489
3g2n	P00489
3g3n	Q13946
3g42	P78536
3g45	Q07343
3g4k	Q08499
3g4l	Q08499
3g58	Q08499
3g5d	P00523
3g5k	Q9HBH1
3g6z	P00797
3g70	P00797
3g72	P00797
3g8i	Q07869,Q15788
3g8o	P06401
3g90	P53779
3g9e	P37231,Q15788
3g9l	P53779
3g9n	P53779
3gc7	Q16539
3gcp	Q16539
3gcq	Q16539
3gcu	Q16539
3gcv	Q16539
3gdt	P03962
3gen	Q06187
3gep	P00492
3gfw	P33981
3ggc	P00492
3gjs	P42574
3gjt	P42574
3gjw	P09874
3gn7	P09874
3gp0	Q15759
3gt9	Q96CA5
3gta	Q96CA5
3gus	P09211
3gvu	P42684
3gw5	P00797
3gws	P10828
3gwt	Q07343
3gwx	Q03181
3gxl	P36897
3gxt	P06280
3gz9	Q03181
3gzn	Q13564,Q15843,Q8TBC4
3h03	P19491
3h0a	P19793,P37231,Q15788
3h0b	P56817
3h0e	P42574
3h0w	P17707
3h0y	O14965
3h0z	O14965
3h26	Q81VW8
3h2f	Q81VW8
3h2o	Q81VW8
3h30	P68400
3h3c	Q14289
3h8c	P07711
3h9f	P33981
3h9k	P04818
3h9o	O15530
3ha6	Q9ULW0,O14965
3hab	P27487
3hac	P27487
3hb4	P14061
3hb8	P04818
3hc8	O76074,Q07343
3hdm	O00141
3hdn	O00141
3hec	Q16539
3heg	Q16539
3hf6	P17752
3hf8	P17752
3hfb	P17752
3hha	P07711
3hhm	P27986,P42336
3hig	P19801
3hii	P19801
3hjo	P09211
3hkn	P00918
3hkq	P00918
3hkt	P00918
3hku	P00918
3hl5	P98170
3hl7	Q16539
3hll	Q16539
3hmm	P36897
3hmo	P33981
3hmv	Q07343
3hng	P17948
3hp2	Q16539
3hq5	P06401
3hqr	Q16665,Q9GZT9
3hqy	Q9QYJ6
3hqz	Q9QYJ6
3hr1	Q9QYJ6
3hrb	Q16539
3hrf	O15530
3hs4	P00918
3hub	Q16539
3huc	Q16539
3hv3	Q16539
3hv4	Q16539
3hv5	Q16539
3hv6	Q16539
3hv7	Q16539
3hvc	Q16539
3hvg	P56817
3hwn	P07711
3hy7	Q9UNA0
3i06	P25779
3i1y	P34913
3i28	P34913
3i4a	O94760
3i5n	P08581
3i5z	P28482
3i60	P28482
3i6c	Q13526
3i6m	P04058
3i6z	P04058
3i7b	Q9BJF5
3i7c	Q9BJF5
3i7e	P03369
3i7g	P45452
3i7i	P45452
3i81	P08069
3i97	O14786
3ia6	P37231
3ibi	P00918
3ibl	P00918
3ibu	P00918
3idp	P15056
3ie3	P09211
3iej	P25774
3ies	P08659
3ig6	P00749
3igp	P00918
3ii5	P15056
3iit	P00742
3ijg	P14174
3ijz	P00469
3ik1	P00469
3ika	P00533
3ikg	Q13526
3il5	Q820T1
3il6	Q820T1
3imc	P9WIL5
3imy	P10828
3in3	P56817
3in4	P56817
3ind	P56817
3ine	P56817
3inf	P56817
3inh	P56817
3io7	O60674
3iod	P9WIL5
3ioe	P9WIL5
3iof	P26918
3iog	P26918
3iok	O60674
3ion	O15530
3iop	O15530
3iph	Q16539
3ipq	Q13133,Q15788
3ips	Q13133,Q15788
3ipu	Q13133,Q15788
3ipx	P27707
3ipy	P27707
3iqg	P45040
3iqh	P45040
3iqi	P45040
3itu	O00408
3itz	Q16539
3iue	P9WIL5
3iut	P25779
3ivh	P56817
3ivi	P56817
3iw4	P17252
3iw7	Q16539
3iw8	Q16539
3iww	Q04609
3ixj	P56817
3ixk	P56817
3jpv	P11309
3jsi	O76083
3jsw	O76083
3jvs	O14757
3jwq	P51160,O76074
3jwr	P18545,P51160,O76074
3jxw	P11309
3jy0	P11309
3jy9	O60674
3jya	P11309
3jyj	Q13526
3jzc	P10828
3jzk	Q00987
3k0h	P38398
3k0k	P38398
3k15	P38398
3k16	P38398
3k22	P04150
3k2f	P00918
3k3e	O76083
3k3h	O76083
3k4d	P05804
3k5c	P56817
3k5d	P56817
3k5f	P56817
3k5g	P56817
3k5k	Q96KQ7
3k5u	O14965
3k7f	P97612
3k83	P97612
3k8o	P00491
3k8q	P00491
3k9x	P00742
3kac	Q13526
3kad	Q13526
3kaf	Q13526
3kag	Q13526
3kah	Q13526
3kai	Q13526
3kb7	P53350
3kba	P06401
3kbz	P09467
3kc0	P09467
3kc1	P09467
3kc3	P49137
3kce	Q13526
3kcf	P36897
3kdt	Q07869
3kdu	Q07869
3kec	P45452
3kej	P45452
3kek	P45452
3ken	P52732
3kf7	Q16539
3kfc	P55055
3kga	P49137
3kig	P00918
3kjd	Q9UGN5
3kku	P25779
3kl6	P00742
3km4	P00797
3kmc	P78536
3kme	P78536
3kmm	P06239
3kmx	P56817
3kmy	P56817
3kn0	P56817
3koo	P34913
3kqb	P00742
3kqc	P00742
3kqd	P00742
3kqe	P00742
3kr5	Q8IL11
3kr8	Q9H2K2
3krj	P07333,P11362
3krl	P07333,P11362
3krr	O60674
3krw	P25098
3kry	P45452
3kv2	P05089
3kvx	P53779
3kw9	P43235
3kwa	P00918
3kwf	P27487
3kwj	P27487
3kwz	P43235
3kx1	P43235
3kyr	P56817
3l08	P48736
3l0e	P55055
3l0v	P78536
3l13	P48736
3l17	P48736
3l1s	P49841
3l38	P56817
3l3a	P56817
3l3l	P09874
3l3m	P09874
3l3n	P12821
3l4w	O43451
3l59	P56817
3l5b	P56817
3l5d	P56817
3l5e	P56817
3l5f	P56817
3l5r	P14174
3l7a	P00489
3l7b	P00489
3l7d	P00489
3l8s	Q16539
3l8v	P08581
3l8x	Q16539
3l9h	P52732
3lbj	O15151
3lbk	Q00987
3lbl	Q00987
3lbz	P41182
3lc3	P00740
3lc5	P00740
3lco	P07333
3ldq	P11142
3le8	P9WIL5
3lea	P78536
3lfn	P24941
3lfs	P24941
3lhg	P56817
3lhj	Q16539
3lik	P39900
3lj3	P48736
3ljg	P39900
3ljt	Q9UNA0
3lk8	P39900
3lmk	P41594
3lmp	P37231,Q15788
3lnk	P56817
3lp4	P05089
3lpb	O60674
3lpi	P56817
3lpj	P56817
3lpk	P56817
3lq5	O60563,P50750
3lq8	P08581
3lxe	P00915
3ly2	Q07343
3lzb	P00533
3lzv	P03369
3m11	O14965
3m2w	P49137
3m36	P00742
3m37	P00742
3m3x	P00918
3m3z	P11142
3m40	P00918
3m5e	P00918
3m6f	P20701
3ma3	P11309
3max	Q92769
3mb6	P68400
3mbl	Q02750
3mdz	P43166
3mfv	P05089
3mfw	P05089
3mhc	P00918
3mhi	P00918
3mhm	P00918
3mho	P00918
3mi2	P11172
3miy	Q08881
3mj2	Q08881
3mjl	P05089
3ml2	P00918
3ml5	P43166
3mlb	C3L5T6
3mmf	P00918
3mna	P00918
3mpm	P06239
3mpt	Q16539
3mqf	P00489
3mrt	P00489
3mrx	P00489
3ms2	P00489
3ms4	P00489
3msj	P56817
3msk	P56817
3msl	P56817
3mt7	P00489
3mt9	P00489
3mtb	P00489
3mtd	P00489
3mv5	P31749,P49841
3mvh	P31749
3mvl	Q16539
3mvm	Q16539
3mw1	Q16539
3mww	O92972
3mxc	P62993,P05067
3mxf	O60885
3my1	O60563,P50750
3myg	O14965
3myq	P00918
3n0h	P00374
3n0n	P00918
3n2p	P00918
3n2u	P39900
3n3g	P25774
3n3j	P00918
3n4b	P00918
3n4c	P25774
3n4l	P56817
3n51	Q9BJF5
3n6k	P14324
3n76	P9WPX7
3n7a	P9WPX7
3n7o	P23946
3n7r	O60894,Q16602
3n7s	O60894,Q16602
3n87	P9WPX7
3nb5	P00918
3nc9	P50053
3ncz	Q13464
3new	Q16539
3nga	P68400
3ni5	P00918
3nif	P05106,P08514
3njy	O75164
3nnv	Q16539
3nnw	Q16539
3nnx	Q16539
3nox	P27487
3np9	P00489
3npa	P00489
3npc	P45984
3nrm	O14965
3ns7	P29466
3ns9	P24941
3nsh	P56817
3nus	O15530
3nuu	O15530
3nuy	O15530
3nw7	P08069
3nww	Q16539
3nzc	P16184
3nzw	P22141,P23724,P25043,P30656,P38624
3nzx	P22141,P23724,P25043,P30656,P38624
3o0g	Q00535,Q15078
3o1g	P43235
3o23	P08069
3o2m	P45983
3o5x	Q06124
3o64	P78536
3o8g	P9WMC1
3o8h	P9WMC1
3o8p	Q16539
3o95	P27487
3o96	P31749
3o9f	P03369
3o9g	P03369
3o9h	P03369
3o9i	P03369
3o9l	P00797
3o9v	P27487
3oad	P00797
3oaf	P00374
3oag	P00797
3oc0	P27487
3ocb	P31749
3ocg	Q16539
3oct	Q06187
3odk	Q13526
3of8	P07711
3ohh	P56817
3okh	Q96RI1,Q15788
3oku	P00918
3olf	Q96RI1,Q15788
3oof	Q96RI1,Q15788
3ook	Q96RI1,Q15788
3oot	P00797
3ooz	P56817
3opm	P27487
3oqf	P00797
3oqk	P00797
3orn	Q02750
3os3	Q02750
3ot3	O14757
3ot8	O14757
3otq	P34913
3ov1	P62993
3ove	P62993
3ovx	P25774
3ovz	P43235
3ow4	P31749,P49841
3ow6	P07900
3owb	P07900
3owd	P07900
3own	P00797
3oxi	P53779
3oy0	P00918
3oy1	P53779
3oy8	P09382
3oyq	P00918
3oys	P00918
3oyw	P09382
3oz1	Q13490
3p0g	P00720,P07550
3p17	P00734
3p1d	Q92793
3p3s	P02766
3p3t	P02766
3p3u	P02766
3p4v	P00918
3p58	P00918
3p5l	P00918
3p5o	O60885
3p8h	Q9Y468
3p8n	P26662
3p8o	P26662
3p8p	O94760
3pa3	O14757
3pa4	O14757
3pa5	O14757
3pb7	Q9NXS2
3pbb	Q16769
3pd8	P19491
3pdq	O75164
3pe1	P68400
3pe2	P68400
3peq	Q03181
3pi5	P56817
3piy	Q06187
3pjc	P52333
3poz	P00533
3pp0	P04626
3ppj	P15056
3ppk	P15056
3ppm	P97612
3prf	P15056
3psb	P15056
3psd	P15056
3psl	P61964
3ptg	P53779
3pvu	P21146
3pvw	P21146
3pwh	P29274
3px8	P02879
3px9	P02879
3pxq	P24941
3py1	P24941
3pyy	P00519
3pz4	Q8K2I1,Q04631
3q32	O60674
3q3b	P49841
3q3k	P00742
3q3t	P00797
3q44	O96935
3q4b	P00797
3q5h	P00797
3q6w	P08581
3q77	P08246
3q8h	Q63T71
3q92	P50053
3q96	P15056
3qa2	P50053
3qai	P50053
3qak	P29274,P00720
3qaq	P48736
3qar	P48736
3qbh	P56817
3qc4	O15530
3qce	P23470
3qcf	P23470
3qch	P23470
3qci	P23470
3qcj	P23470
3qck	P23470
3qcl	P23470
3qcq	O15530
3qcs	O15530
3qcx	O15530
3qcy	O15530
3qd0	O15530
3qd3	O15530
3qd4	O15530
3qdd	P07900
3qel	Q00960
3qem	Q00960
3qfd	P04439
3qi1	P56817
3qi3	O76083
3qj9	P97612
3qk0	P48736
3qk5	P97612
3qkd	Q07817
3qkk	P31749,P49841
3qkl	P31749
3qkm	P31749
3qox	Q8TEK3
3qpn	Q9QYJ6
3qpo	Q9QYJ6
3qpp	Q9QYJ6
3qqu	P08069
3qrk	P00519
3qs1	P39898
3qtf	P07900
3qti	P08581
3qto	P00734
3qtv	P00734
3qtz	P24941
3que	Q16539
3qxm	Q13002
3r00	P11309
3r01	P11309
3r02	P11309
3r04	P11309
3r0t	P68400
3r16	P00918
3r17	P00918
3r21	O14965
3r22	O14965
3r2b	P49137
3r2f	P56817
3r2y	P49137
3r4n	P07900
3r5m	P19793
3r7b	P42575
3r7o	P08581
3r7r	P48736
3r8i	P37231
3r91	P07900
3r92	P07900
3rcd	P04626
3rde	P16469
3rey	P29274
3rhk	P08581
3rhx	P11362
3ri1	P21802
3rik	P04062
3ril	P04062
3rin	Q16539
3rjm	P42575
3rjw	Q96KQ7
3rl7	P25054
3rm4	Q9BZP6
3rm8	Q9BZP6
3rm9	Q9BZP6
3rme	Q9BZP6
3ro4	P50053
3roc	Q16539
3rq7	P53350
3rsv	P56817
3rsx	P56817
3rt6	P19492
3rtf	P19491
3rth	P56817
3rtn	P56817
3rtp	P53779
3ru1	P56817
3rux	P96884,I6YFP0
3rvi	P56817
3rwp	O15530
3rwq	O15530
3rxj	P00760
3ryv	P00918
3ryy	P00918
3ryz	P00918
3rz0	P00918
3rz1	P00918
3rz5	P00918
3rz8	P00918
3s0j	P00489
3s0n	P23946
3s2a	P48736
3s2o	P56817
3s2p	P24941
3s2v	P22756
3s3v	P00374
3s5y	P06280
3s68	P22734
3s71	P00918
3s73	P00918
3s74	P00918
3s7b	Q9NRG4
3s7l	P56817
3s7m	P56817
3s8l	P62993
3s8n	P62993
3s8o	P62993
3s8x	P00918
3s9e	P42264
3s9t	P00918
3sax	P00918
3sbi	P00918
3sd5	P48736
3sdg	P9WMC1
3sfc	P00797
3sff	Q9BY41
3sfh	Q9BY41
3sfi	P9WMC1
3sha	P00734
3shy	O76074
3si3	P00734
3sie	O76074
3sjf	Q04609
3skc	P15056
3skf	P56817
3skg	P56817
3sl4	Q08499
3sl8	Q08499
3smq	O60678
3sn7	Q9Y233
3sni	Q9Y233
3snl	Q9Y233
3sr4	Q8TEK3
3srv	P43405
3su4	P26664
3sv2	P00734
3svv	P00523
3sw2	P00742
3sww	P27487
3sx4	P27487
3sx9	Q9BJF5
3sxf	Q9BJF5
3t1l	P17931
3t1m	P17931
3t2t	P09382
3t3h	P00489
3t3i	P00489
3t3u	Q9BJF5
3t3v	Q9BJF5
3t5u	P00918
3t60	Q8II92
3t64	Q8II92
3t82	P00918
3t84	P00918
3t85	P00918
3t8s	P29994
3tcp	Q12866
3tct	P02766
3tdc	O00763
3tge	O76074
3thb	P53350
3thd	P16278
3ti1	P24941
3tjd	O60674
3tkh	O14757
3tki	O14757
3tkm	Q03181
3tl5	P48736
3tnh	O60563,P50750
3tpp	P56817
3tpr	P56817
3ts4	P39900
3tsk	P39900
3tt0	P11362
3tt4	P22894
3tti	P53779
3ttj	P53779
3ttz	P0A0K8
3tu1	Q00987
3tu7	P00734
3tv4	P15056
3tv6	P15056
3tv7	Q13464
3tvc	P45452
3tvx	P27815
3twd	P0ACC7
3twj	Q13464
3txo	P24723
3ty0	P37231
3tzm	P36897
3u15	O15151
3u1y	P47205
3u2k	P0A0K8
3u4h	P28907
3u4i	P28907
3u4u	P68400
3u51	P00523
3u5j	O60885
3u5l	O60885
3u6a	P56817
3u6i	P08581
3u8w	Q16539
3u9n	O14757
3u9q	Q9UBK2,P37231
3ua9	Q9H2K2
3udd	O95271
3udh	P56817
3udm	P56817
3udn	P56817
3udp	P56817
3udr	P56817
3ue4	P00519
3ufl	P56817
3ug2	P00533
3uh2	O95271
3uh4	O95271
3ui7	Q9Y233
3uli	P24941
3umw	P11309
3unj	P24941
3unk	P24941
3unz	O14965
3uo4	O14965
3uo5	O14965
3uo6	O14965
3uo9	O94925
3uod	O14965
3uoj	O14965
3uok	O14965
3uol	O14965
3up2	O14965
3up7	O14965
3upx	Q9BJF5
3uqf	P00523
3usn	P08254
3uuo	Q9Y233
3uvo	Q9UPS6,P61964
3uvp	Q16539
3uvq	Q16539
3uw4	P98170,Q13490
3uw5	Q96CA5,P98170
3uxk	P11444
3uza	P29274
3uzc	P29274
3uzp	P48730
3v01	Q02750
3v04	Q02750
3v2w	P21453,P00720
3v3q	P22736
3v49	P10275
3v51	Q9BJF5
3v5g	P00918
3v5j	Q08881
3v5l	Q08881
3v5p	Q9BJF5
3v5q	Q16288
3v6r	P53779
3v6s	P53779
3v7x	P00918
3v8s	Q13464
3v8w	Q08881
3vap	O14965
3vb5	P0C6U8
3vbd	P00918
3vbg	Q00987
3vbq	P11309
3vbt	P11309
3vbv	P11309
3vbw	P11309
3vby	P11309
3vc4	P11309
3veu	P56817
3vf3	P56817
3vf8	P43405
3vf9	P43405
3vg1	P56817
3vh9	Q01693
3vha	P07900
3vhc	P07900
3vhd	P07900
3vhe	P35968
3vhk	P35968
3vhu	P08235
3vhv	P08235
3vi5	O60760
3vid	P35968
3vjc	P37268
3vjk	P27487
3vjl	P27487
3vjm	P27487
3vnt	P35968
3vo3	P35968
3voz	O94925
3vp1	O94925
3vp4	O94925
3vqh	P17612
3vry	P08631
3vsw	P00797
3vsx	P00797
3vtb	P13053
3vtc	P13053
3vuc	P00797
3vv6	P56817
3vva	Q26710
3vw6	Q99683
3vw7	P25116,P00720
3vw9	Q04760
3vyd	P00797
3vye	P00797
3vyf	P00797
3vzd	Q9NYA1
3vzv	Q00987
3w1f	P33981
3w2o	P00533
3w2q	P00533
3w2r	P00533
3w2s	P00533
3w2t	P27487
3w32	P00533
3w33	P00533
3w54	Q26710
3w5e	Q07343
3w69	Q00987
3wab	P09955
3wbl	P24941
3wd1	P11797
3wd9	Q07343
3wff	P08235
3wfg	P08235
3wgw	P12004
3wha	P07900
3wi2	Q9Y233
3wig	Q02750
3wix	Q07820
3wk4	P34913
3wk5	P34913
3wk6	P34913
3wk7	P34913
3wk8	P34913
3wk9	P34913
3wka	P34913
3wkb	P34913
3wkc	P34913
3wkd	P34913
3wke	P34913
3wpn	P52732
3wqh	P27487
3ws8	Q9Y233
3ws9	Q9Y233
3wt5	P13053
3wt7	P13053
3wtj	P58154
3wtk	P58154
3wtl	P58154
3wv1	P45452
3wv2	P45452
3wv3	P45452
3wyk	Q9Y233
3wyl	Q9Y233
3wym	Q9Y233
3wzj	P33981
3wzk	P33981
3wzu	O14733
3zbf	P08922
3zbx	P08581
3zc5	P08581
3zc6	P52333
3zcw	P52732
3zdg	P58154
3zdh	P58154
3zep	P52333
3zh8	P41743
3zhx	P9WNS1
3zhz	P9WNS1
3zi0	P9WNS1
3zim	P42336
3zln	Q07817
3zlq	Q9Y5Z0
3zlr	Q07817
3zls	Q02750
3zlw	Q02750
3zly	Q02750
3zm6	Q8DNV6
3zmg	P56817
3zmm	O60674
3zmp	P18031,P12931
3zn0	O60341,Q9UKL0
3zn1	O60341,Q9UKL0
3zns	Q8WUI4
3zos	Q08345
3zqt	P10275
3zrk	P49841
3zrl	P49841
3zrm	P49841
3zvv	P48736
3zw3	P48736
3zxe	P47929
3zxh	P45452
3zxz	P08581
3zya	Q16539
3zyu	O60885
4a22	P9WQA3
4a4l	P53350
4a4o	P53350
4a4v	P37231
4a4x	P51955
4a50	P52732
4a51	P52732
4a7b	P45452
4a7c	P11309
4a95	A5K1A2
4a9i	P25440
4a9m	P25440
4a9n	P25440
4a9r	O96017
4a9s	O96017
4a9t	O96017
4a9u	O96017
4aa0	Q16539
4aa4	Q16539
4aa5	Q16539
4aa7	P0ACC7
4abu	P02766
4abv	P02766
4acc	P49841
4acd	P49841
4acg	P49841
4ach	P49841
4acu	P56817
4acx	P56817
4ael	Q9Y233
4af3	Q96GD4,Q9NQS7
4afe	P51955
4afj	P49841
4ag8	P35968
4agd	P35968
4agn	P04637
4agp	P04637
4akn	P25440
4alg	P25440
4alu	P11309
4alv	P11309
4alw	P11309
4amy	P23687
4amz	P23687
4an0	P23687
4an1	P23687
4an2	Q02750
4an3	Q02750
4an9	Q02750
4anb	Q02750
4anq	Q9UM73
4anu	P48736
4anw	P48736
4anx	P48736
4aof	P48736
4aoi	P08581
4ap0	P52732
4ap7	P08581
4app	O96013
4aq3	P10415,Q07817
4aqc	O60674
4ark	Q02750
4asd	P35968
4ase	P35968
4ask	O15054
4at4	Q16620
4at5	Q16620
4att	P08191
4auj	P08191
4auy	P08191
4aw5	P54760
4awj	P40337,Q15369,Q15370
4awq	P07900
4ax9	P00734
4axm	P07711
4ay6	O15294,Q15750
4ayv	P00734
4ayy	P00734
4az0	P10619
4az2	P00734
4az3	P10619
4aze	Q13627
4azy	P56817
4b00	P56817
4b05	P56817
4b0g	O14965
4b13	A5K1A2
4b14	A5K1A2
4b1c	P56817
4b1d	P56817
4b70	P56817
4b72	P56817
4b77	P56817
4b7p	P07900
4b7z	P21836
4b81	P21836
4b82	P21836
4b83	P21836
4b84	P21836
4b85	P21836
4b9k	P40337,Q15369,Q15370
4bah	P00734
