target_chembl_id	uniprot_id	target_name_from_uniprot	target_name_from_pharos	target_family_from_pharos
CHEMBL2026	P00811	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	None	Unclassified
CHEMBL202	P00374	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase	Enzyme
CHEMBL2034	P04150	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	Glucocorticoid receptor	Nuclear Receptor
CHEMBL2039	P27338	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	Amine oxidase [flavin-containing] B	Enzyme
CHEMBL203	P00533	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	Epidermal growth factor receptor	Kinase
CHEMBL2041	P07949	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	Proto-oncogene tyrosine-protein kinase receptor Ret	Kinase
CHEMBL2045	P04746	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Pancreatic alpha-amylase	Enzyme
CHEMBL2046266	Q869C3	Acetylcholinesterase (AChE) (EC 3.1.1.7)	None	Unclassified
CHEMBL2047	Q96RI1	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	Bile acid receptor	Nuclear Receptor
CHEMBL204	P00734	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	Prothrombin	Enzyme
CHEMBL2052030	Q6T755	Phosphoethanolamine N-methyltransferase	None	Unclassified
CHEMBL2052031	Q13451	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)	Peptidyl-prolyl cis-trans isomerase FKBP5	Enzyme
CHEMBL205	P00918	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	Carbonic anhydrase 2	Enzyme
CHEMBL2061	P19793	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	Retinoic acid receptor RXR-alpha	Nuclear Receptor
CHEMBL2068	P29317	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	Ephrin type-A receptor 2	Kinase
CHEMBL2069156	Q14145	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)	Kelch-like ECH-associated protein 1	Other
CHEMBL206	P03372	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	Estrogen receptor	Nuclear Receptor
CHEMBL2074	O43451	Maltase-glucoamylase, intestinal [Includes: Maltase (EC 3.2.1.20) (Alpha-glucosidase); Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]	Maltase-glucoamylase, intestinal	Enzyme
CHEMBL2079846	Q07889	Son of sevenless homolog 1 (SOS-1)	Son of sevenless homolog 1	Other
CHEMBL2079849	P05981	Serine protease hepsin (EC 3.4.21.106) (Transmembrane protease serine 1) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain]	Serine protease hepsin	Enzyme
CHEMBL2083	P15090	Fatty acid-binding protein, adipocyte (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (A-FABP) (AFABP) (Fatty acid-binding protein 4)	Fatty acid-binding protein, adipocyte	Other
CHEMBL2085	P14174	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	Macrophage migration inhibitory factor	Other
CHEMBL2088	P15085	Carboxypeptidase A1 (EC 3.4.17.1)	Carboxypeptidase A1	Enzyme
CHEMBL208	P06401	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	Progesterone receptor	Nuclear Receptor
CHEMBL2093869	P05106	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	Integrin beta-3	Other
CHEMBL2094120	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2094121	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2094122	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2094130	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2095172	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2095190	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2095197	Q02293	Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	None	Unclassified
CHEMBL2095197	Q04631	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)	None	Unclassified
CHEMBL2107838	O60894	Receptor activity-modifying protein 1 (Calcitonin-receptor-like receptor activity-modifying protein 1) (CRLR activity-modifying protein 1)	Receptor activity-modifying protein 1	Other
CHEMBL210	P07550	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	Beta-2 adrenergic receptor	GPCR
CHEMBL2111339	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2111366	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2111370	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2111413	P18507	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gamma-aminobutyric acid receptor subunit gamma-2	Ion Channel
CHEMBL2111461	P05106	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	Integrin beta-3	Other
CHEMBL2118	P19801	Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase) (Kidney amine oxidase) (KAO)	Amiloride-sensitive amine oxidase [copper-containing]	Enzyme
CHEMBL211	P08172	Muscarinic acetylcholine receptor M2	Muscarinic acetylcholine receptor M2	GPCR
CHEMBL2121	P15328	Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)	Folate receptor alpha	Other
CHEMBL2131	O95050	Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT)	Indolethylamine N-methyltransferase	Enzyme
CHEMBL2146302	O94925	Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) (K-glutaminase) (L-glutamine amidohydrolase) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]	Glutaminase kidney isoform, mitochondrial	Enzyme
CHEMBL2147	P11309	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	Serine/threonine-protein kinase pim-1	Kinase
CHEMBL2148	P52333	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	Tyrosine-protein kinase JAK3	Kinase
CHEMBL2150837	Q6PL18	ATPase family AAA domain-containing protein 2 (EC 3.6.1.-) (AAA nuclear coregulator cancer-associated protein) (ANCCA)	ATPase family AAA domain-containing protein 2	Epigenetic
CHEMBL2154	Q9NZK7	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	Group IIE secretory phospholipase A2	Enzyme
CHEMBL2157850	Q93009	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	Ubiquitin carboxyl-terminal hydrolase 7	Enzyme
CHEMBL2163175	O75936	Gamma-butyrobetaine dioxygenase (EC 1.14.11.1) (Gamma-butyrobetaine hydroxylase) (Gamma-BBH) (Gamma-butyrobetaine,2-oxoglutarate dioxygenase)	Gamma-butyrobetaine dioxygenase	Enzyme
CHEMBL2163176	P41229	Lysine-specific demethylase 5C (EC 1.14.11.67) (Histone demethylase JARID1C) (Jumonji/ARID domain-containing protein 1C) (Protein SmcX) (Protein Xe169) ([histone H3]-trimethyl-L-lysine(4) demethylase 5C)	Lysine-specific demethylase 5C	TF-Epigenetic
CHEMBL2163181	Q9AIU7	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	None	Unclassified
CHEMBL2163182	Q8N6T7	NAD-dependent protein deacetylase sirtuin-6 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 6) (SIR2-like protein 6)	NAD-dependent protein deacetylase sirtuin-6	Epigenetic
CHEMBL2169716	Q9NRG4	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2)	N-lysine methyltransferase SMYD2	Epigenetic
CHEMBL2169733	Q6S996	Phosphodiesterase (EC 3.1.4.-)	None	Unclassified
CHEMBL2169736	O95551	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (hTDP2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (ETS1-associated protein 2) (ETS1-associated protein II) (EAPII) (TRAF and TNF receptor-associated protein) (Tyrosyl-RNA phosphodiesterase) (VPg unlinkase)	Tyrosyl-DNA phosphodiesterase 2	Enzyme
CHEMBL2175	Q9CPU0	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	None	Unclassified
CHEMBL2176771	P00746	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	Complement factor D	Enzyme
CHEMBL2176774	O95696	Bromodomain-containing protein 1 (BR140-like protein) (Bromodomain and PHD finger-containing protein 2)	Bromodomain-containing protein 1	Epigenetic
CHEMBL2176777	Q460N5	Protein mono-ADP-ribosyltransferase PARP14 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (B aggressive lymphoma protein 2) (Poly [ADP-ribose] polymerase 14) (PARP-14)	Poly [ADP-ribose] polymerase 14	Enzyme
CHEMBL2176778	Q460N3	Protein mono-ADP-ribosyltransferase PARP15 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 7) (ARTD7) (B-aggressive lymphoma protein 3) (Poly [ADP-ribose] polymerase 15) (PARP-15)	Poly [ADP-ribose] polymerase 15	Enzyme
CHEMBL2176838	Q6DE08	Aurora kinase B-A (EC 2.7.11.1) (Aurora/IPL1-related kinase 2-A) (AIRK2-A) (XAIRK2-A) (Serine/threonine-protein kinase 12-A) (Serine/threonine-protein kinase aurora-B-A) (xAurora-B)	None	Unclassified
CHEMBL2176852	Q8I4S1	dTMP kinase (EC 2.7.4.9)	None	Unclassified
CHEMBL2179	P04062	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)	Glucosylceramidase	Enzyme
CHEMBL2185	Q96GD4	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	Aurora kinase B	Kinase
CHEMBL2189110	Q15910	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6)	Histone-lysine N-methyltransferase EZH2	Epigenetic
CHEMBL2189117	O75530	Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1)	Polycomb protein EED	Other
CHEMBL2189121	P01116	GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]	GTPase KRas	Enzyme
CHEMBL2189156	P02701	Avidin	None	Unclassified
CHEMBL2190	P50135	Histamine N-methyltransferase (HMT) (EC 2.1.1.8)	Histamine N-methyltransferase	Enzyme
CHEMBL2195	P13444	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III)	None	Unclassified
CHEMBL2208	P49137	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAP kinase-activated protein kinase 2	Kinase
CHEMBL220	P22303	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Acetylcholinesterase	Enzyme
CHEMBL2216745	O35904	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	None	Unclassified
CHEMBL2222	P00480	Ornithine transcarbamylase, mitochondrial (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, mitochondrial)	Ornithine carbamoyltransferase, mitochondrial	Enzyme
CHEMBL225	P28335	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	5-hydroxytryptamine receptor 2C	GPCR
CHEMBL2263	P00636	Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)	None	Unclassified
CHEMBL2276	P45983	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	Mitogen-activated protein kinase 8	Kinase
CHEMBL227	P30556	Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1)	Type-1 angiotensin II receptor	GPCR
CHEMBL2285353	P69834	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (AtMECT) (AtMEPCT)	None	Unclassified
CHEMBL2285	Q9UNA0	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 11) (ADAM-TS 11) (ADAMTS-11) (ADMP-2) (Aggrecanase-2)	A disintegrin and metalloproteinase with thrombospondin motifs 5	Enzyme
CHEMBL2288	Q13526	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	Enzyme
CHEMBL228	P31645	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	Sodium-dependent serotonin transporter	Transporter
CHEMBL2292	Q13627	Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	Kinase
CHEMBL2311239	B4EB35	D-beta-D-heptose 7-phosphate kinase	None	Unclassified
CHEMBL2311243	O43175	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	D-3-phosphoglycerate dehydrogenase	Enzyme
CHEMBL2316	P10144	Granzyme B (EC 3.4.21.79) (C11) (CTLA-1) (Cathepsin G-like 1) (CTSGL1) (Cytotoxic T-lymphocyte proteinase 2) (Lymphocyte protease) (Fragmentin-2) (Granzyme-2) (Human lymphocyte protein) (HLP) (SECT) (T-cell serine protease 1-3E)	Granzyme B	Enzyme
CHEMBL2318	O75173	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	A disintegrin and metalloproteinase with thrombospondin motifs 4	Enzyme
CHEMBL2321641	P07445	Steroid Delta-isomerase (EC 5.3.3.1) (Delta(5)-3-ketosteroid isomerase)	None	Unclassified
CHEMBL2321643	Q9H7B4	Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1)	Histone-lysine N-methyltransferase SMYD3	Epigenetic
CHEMBL2326	P43166	Carbonic anhydrase 7 (EC 4.2.1.1) (Carbonate dehydratase VII) (Carbonic anhydrase VII) (CA-VII)	Carbonic anhydrase 7	Enzyme
CHEMBL2331053	Q16875	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 (6PF-2-K/Fru-2,6-P2ase 3) (PFK/FBPase 3) (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) (Renal carcinoma antigen NY-REN-56) (iPFK-2) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	Kinase
CHEMBL2331065	Q9C0B1	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	Alpha-ketoglutarate-dependent dioxygenase FTO	Enzyme
CHEMBL2334	P42574	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	Caspase-3	Enzyme
CHEMBL2336	P47811	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha)	None	Unclassified
CHEMBL2343	O00141	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	Serine/threonine-protein kinase Sgk1	Kinase
CHEMBL2345	P51812	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	Ribosomal protein S6 kinase alpha-3	Kinase
CHEMBL2346486	P40261	Nicotinamide N-methyltransferase (EC 2.1.1.1)	Nicotinamide N-methyltransferase	Enzyme
CHEMBL2346488	P12004	Proliferating cell nuclear antigen (PCNA) (Cyclin)	Proliferating cell nuclear antigen	Other
CHEMBL235	P37231	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	Peroxisome proliferator-activated receptor gamma	Nuclear Receptor
CHEMBL2360	P00492	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	Hypoxanthine-guanine phosphoribosyltransferase	Enzyme
CHEMBL2361	P9WKE1	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	None	Unclassified
CHEMBL236	P41143	Delta-type opioid receptor (D-OR-1) (DOR-1)	Delta-type opioid receptor	GPCR
CHEMBL2372	P22734	Catechol O-methyltransferase (EC 2.1.1.6)	None	Unclassified
CHEMBL237	P41145	Kappa-type opioid receptor (K-OR-1) (KOR-1)	Kappa-type opioid receptor	GPCR
CHEMBL2381	P16469	Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (EC 1.13.11.31) (Arachidonate 15-lipoxygenase) (15-LOX) (EC 1.13.11.33) (Arachidonate omega-6 lipoxygenase) (Erythroid cell-specific 15-lipoxygenase) (Hepoxilin A3 synthase Alox15) (EC 1.13.11.-) (Linoleate 13S-lipoxygenase) (EC 1.13.11.12)	None	Unclassified
CHEMBL2396505	P03313	Genome polyprotein [Cleaved into: P1; Capsid protein VP0 (VP4-VP2); Capsid protein VP4 (P1A) (Virion protein 4); Capsid protein VP2 (P1B) (Virion protein 2); Capsid protein VP3 (P1C) (Virion protein 3); Capsid protein VP1 (P1D) (Virion protein 1); P2; Protease 2A (P2A) (EC 3.4.22.29) (Picornain 2A) (Protein 2A); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); P3; Protein 3AB; Protein 3A (P3A); Viral protein genome-linked (VPg) (Protein 3B) (P3B); Protein 3CD (EC 3.4.22.28); Protease 3C (EC 3.4.22.28) (Picornain 3C) (P3C); RNA-directed RNA polymerase (RdRp) (EC 2.7.7.48) (3D polymerase) (3Dpol) (Protein 3D) (3D)]	None	Unclassified
CHEMBL239	Q07869	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	Peroxisome proliferator-activated receptor alpha	Nuclear Receptor
CHEMBL2409	P34913	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]	Bifunctional epoxide hydrolase 2	Enzyme
CHEMBL2412	P14635	G2/mitotic-specific cyclin-B1	G2/mitotic-specific cyclin-B1	Other
CHEMBL2421	P08185	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	Corticosteroid-binding globulin	Other
CHEMBL2424504	P29375	Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A)	Lysine-specific demethylase 5A	TF-Epigenetic
CHEMBL2424	Q04760	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	Lactoylglutathione lyase	Enzyme
CHEMBL2429708	Q53GL7	Protein mono-ADP-ribosyltransferase PARP10 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 10) (ARTD10) (Poly [ADP-ribose] polymerase 10) (PARP-10)	Poly [ADP-ribose] polymerase 10	Enzyme
CHEMBL242	Q92731	Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2)	Estrogen receptor beta	Nuclear Receptor
CHEMBL2431	P31751	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	RAC-beta serine/threonine-protein kinase	Kinase
CHEMBL2443	P49862	Kallikrein-7 (hK7) (EC 3.4.21.117) (Serine protease 6) (Stratum corneum chymotryptic enzyme) (hSCCE)	Kallikrein-7	Enzyme
CHEMBL2447	P27707	Deoxycytidine kinase (dCK) (EC 2.7.1.74) (Deoxyadenosine kinase) (EC 2.7.1.76) (Deoxyguanosine kinase) (EC 2.7.1.113)	Deoxycytidine kinase	Kinase
CHEMBL244	P00742	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	Coagulation factor X	Enzyme
CHEMBL2461	P23687	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	None	Unclassified
CHEMBL2474	P53582	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	Methionine aminopeptidase 1	Enzyme
CHEMBL248	P08246	Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)	Neutrophil elastase	Enzyme
CHEMBL249	P25103	Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1)	Substance-P receptor	GPCR
