pdbid	crylig_smiles	crylig_heavy_atom_number
3w2r	O=C(Nc1cccc(Oc2ccc(Nc3ncnc4ccn(CCOCCO)c34)cc2Cl)c1)NC1CCCCC1	40
5x26	CC(C)n1c(Nc2ccccc2)nc2cnc(Nc3ccc(N4CC[NH+](C)CC4)cc3)nc21	33
5x27	C[NH+]1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1	35
4jr3	CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1	35
4jrv	C[NH+](C)CCCC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1	40
4jq7	OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1	31
3w32	CS(=O)(=O)CCNC(=O)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc(C(F)(F)F)c3)c(Cl)c2)NCC1	39
3w33	O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1	35
4li5	CCC(=O)Nc1ccc(OC)c(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1	30
5gmp	CCC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC[NH+](C)CC5)cc4OC)nc32)c1	39
2rgp	Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCCCC1	33
3bel	COCCO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1	32
4rj7	Cc1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)nc(N[C@@H](C)CO)n1	30
4rj6	COC1CCN(c2nccc(Nc3cc4[nH]c(-c5cn[nH]c5)nc4cn3)n2)CC1	29
4rj4	COC1CCN(c2nccc(Nc3cc4c(cn3)cc(-c3cn[nH]c3)n4C(C)C)n2)CC1	32
5cao	Cc1nc2cnc(Nc3ccnc(NCC(C)(C)S(C)(=O)=O)n3)cc2n1C(C)C	29
4rj8	COC1CCN(c2nccc(Nc3cc4c(ccn4C4CCCC4)cn3)n2)CC1	29
5uga	CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CC[NH+](C)CC4)cc3)c3ncn(C(C)C)c3n2)C1	35
5ug9	CCC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C(C)C)c3n2)C[C@H]1F	32
5ugc	CCC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F	30
5ug8	CCC(=O)N[C@@H]1CN(c2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C[C@H]1F	30
5cau	CO[C@@H]1CCN(c2nccc(Nc3cc4c(cn3)nc([C@@H](C)O)n4[C@@H](C)C(F)(F)F)n2)C[C@@H]1F	34
5cal	Cc1nc2cnc(Nc3ccnc(NCC(C)(C)C(N)=O)n3)cc2n1C(C)C	28
5cap	Cc1nc2cnc(Nc3ccnc(OCC(C)(C)S(C)(=O)=O)n3)cc2n1C(C)C	29
5c8k	COC1CCN(c2nccc(Nc3cc4c(cn3)ncn4C3CCCC3)n2)CC1	29
5cas	CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc([C@@H](C)O)n4[C@@H](C)C(F)(F)F)n2)C[C@H]1F	34
5edr	Cn1nccc1-c1nc(Nc2n[nH]c3ccccc23)c2c(n1)C(C)(C)OC2	27
5edq	CC1(C)OCc2c(Nc3n[nH]c4c(Cl)cccc34)nc(-c3cn[nH]c3)nc21	27
5em6	C[NH+]1CCN(c2ccc(NC(=O)c3c(Nc4ccnc(N)n4)cc[nH]c3=O)cc2)CC1	31
5em5	C[NH+]1CCN(c2ccc(NC(=O)c3c(NCCc4ccc(Cl)cc4)cc[nH]c3=O)cc2)CC1	33
5em7	COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CC[NH+](C)CC2)cc1	32
5hg9	CCC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)[C@@H](C(F)(F)F)C1	31
5hg5	CCC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CC[NH+](C)CC4)cc3)nc3[nH]ccc23)c1	35
5hg7	CCC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1	30
5hg8	CCC(=O)Nc1cccc(Oc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)c1	28
2j6m	CC[N@H+]1CC[N@H+](Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1	33
2x2l	COc1ccc(/C=C2\C(=O)Nc3ccc(N)cc32)cc1	20
5amn	COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC	22
2x2m	Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1	18
2x2k	Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(N)cc32)[nH]1	19
2ivu	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CC[N@H+](C)CC1	30
1u2y	OC[C@H]1N/C(=N\O)[C@H](O)[C@@H](O)[C@@H]1O	13
1u33	CO[C@@H]1[C@@H](CO)O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)N/C(=N\O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O	36
6ary	CCC(CC)n1cc([C@H](O)C(F)F)cn1	15
3dct	CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1	36
5q0x	Cc1cc(OCc2c(-c3c(Cl)cncc3Cl)noc2C(C)C)ccc1-c1ccc2c(C(=O)O)cn(C)c2c1	38
3ook	O=C(O)c1cc(F)c(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(F)c1	39
3oof	O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)cc1	37
5q0y	O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(-n3cccn3)nc2)nc2cc(F)c(F)cc21	38
5q0j	O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(-c3ccccc3)s2)nc2ccccc21	36
5q13	O=C(NC1CCCCC1)[C@H]([C@@H]1CCCCO1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(Cl)cc21	34
3olf	Cc1cc(C(=O)O)ccc1NC(=O)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21	38
3okh	O=C(O)c1ccc2nc(-c3ccc(Cl)cc3)n([C@H](C(=O)NC3CCCCC3)C3CCCCC3)c2c1	35
5q1f	COc1ccc(-c2nc3cc(F)ccc3n2[C@H](C(=O)N[C@H]2CC[C@H](C(=O)O)CC2)C2CCCCC2)c(OC)n1	39
5q0p	O=C(O)c1ccc(OC[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)cc1	36
5q0l	O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(CO)cc2)nc2ccccc21	33
5q0u	O=C(N[C@H]1CC[C@H](OS(O)(O)O)CC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21	39
5q1b	O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(-c4nccs4)cc3)nc3cc(F)c(F)cc32)cc1	41
3fxv	Cc1cc(OCc2c(-c3c(Cl)cncc3Cl)noc2C(C)C)ccc1-c1ccc2c(C(=O)O)cn(C)c2c1	38
4oiv	CN(C)c1cc(Cl)c(C(=O)N(Cc2ccccc2)c2ccc(O)c(C(C)(C)C)c2)c(Cl)c1	32
5q0z	CCOC(=O)[C@H]1CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1ccccc21	31
1tom	C[NH2+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H]([NH3+])CC1	28
2bvx	O=C(Cn1c(Cl)cnc(NCCc2ccccn2)c1=O)NCc1csc2ccc(Cl)cc12	32
1mu6	Cc1cnc(NCC(F)(F)c2ccccn2)c(=O)n1CC(=O)NCc1ncccc1F	31
2bxu	Cc1nc(N)ccc1C[NH2+]CCn1c(Cl)cnc(NCC(F)(F)c2ccccn2)c1=O	31
2zda	NC(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([NH3+])Cc2ccccc2)cc1	29
1k21	NC(N)NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](CC1CCCCC1)[NH2+]CC(=O)O	31
3sv2	[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1ccncc1	26
1ta6	CCNC(=O)COc1ccc(Cl)cc1CNC(=O)[C@@H]1CCCN1C(=O)[C@H]([NH3+])C1CCCCC1	33
3dux	[NH3+][C@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1	27
1hdt	C[C@H](O)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCNC(N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	39
1bhx	NC(N)NCCCNC(=O)[C@@H]1CS[C@H]2CC[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N21	31
1qbv	[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCCNc1ccncc1	28
2zo3	NC(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([NH3+])C(c2ccccc2)c2ccccc2)cc1	35
4ufd	NC(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)Cc2ccccc2)cc1	39
3da9	CCCNC(=O)[C@@H]1CCCN1C(=O)[C@H]([NH3+])C(c1ccccc1)c1ccccc1	28
1dwd	NC(N)c1ccc(C[C@@H](NC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)cc1	37
4hfp	C[C@@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1	35
2fes	NC(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)[NH2+]CC(=O)O)s1	32
4rn6	C[C@@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1	35
1ba8	NC(N)NCCC[C@@H](CO)NC(=O)CN1CCC[C@H](NS(=O)(=O)Cc2ccccc2)C1=O	32
1dwc	C[C@@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1	35
3qtv	C[n+]1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([NH3+])Cc2ccccc2)cc1	27
2bdy	Cc1ccc(NS(=O)(=O)c2cccc3ccccc23)c(O)c1CC(=O)NCc1ccc(C(N)N)cc1	36
3p17	[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cccnc1	26
1t4v	C=CCN(C(=O)c1cc(Cl)cc(OCCCONC(N)N)c1)C1CCCC1	27
4ufg	CC[C@@H](C(=O)NCc1ccc(C(N)N)cc1)N(C)C(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1	39
1qhr	NC(N)CCCC[C@@H](C=O)[C@H]1CCC[C@@H]1O	16
2zc9	[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1	27
1nt1	O=C1COc2ccc(Cl)cc2CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](C2CCCCC2)NC(=O)CCN1	35
1o2g	NC(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)cc2c1	25
4ayv	NC(N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)Cc2ccccc2)C1	43
1nm6	O=C1Cn2c(Cl)cnc(c2=O)N[C@@H](Cc2ccccc2)C[NH2+]CCC[NH2+]CCc2ccccc2CN1	36
4ax9	NC(N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1	39
1bmm	NC(N)NCCCC(=O)NC[C@@H]1CCCN1C(=O)[C@H](CO)NS(=O)(=O)c1ccc2ccccc2c1	35
1bmn	NC(N)N1CCC[C@H](C(=O)NC[C@@H]2CCCN2C(=O)[C@H](CO)NS(=O)(=O)c2ccc3ccccc3c2)C1	37
1bb0	NC(N)N1CCC[C@H](C[C@@H](CO)NC(=O)CN2CCC[C@H](NS(=O)(=O)Cc3ccccc3)C2=O)C1	35
1ca8	NC(N)N1CCC[C@@H](C[C@@H](CO)NC(=O)CN2CCC[C@H](NS(=O)(=O)Cc3ccccc3)C2=O)C1	35
1qj1	NC(N)CCCC[C@@H](C=O)[C@H]1c2cc(-c3ccc(O)cc3)ccc2C[C@@H]1O	27
1mu8	Cc1ccnc(CNC(=O)Cn2c(C)cnc(NCC(F)(F)c3ccccn3)c2=O)c1F	32
1c5o	NC(N)c1ccccc1	9
3tu7	CS(=O)(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCC1CCN(C(N)N)CC1	33
1ktt	Cn1c(Cc2ccc(C(N)N)cc2)nc2cc(NS(=O)(=O)c3ccccc3)ccc21	30
4ufe	C[C@H](NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)NCc1ccc(C(N)N)cc1	37
1d3d	Oc1ccc2c(Cc3ccc(C[NH+]4CCCC4)c(Br)c3)c(-c3ccc(OCC[NH+]4CCCC4)cc3)sc2c1	38
4az2	NC(N)N1CCC[C@@H](CNC(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)c2ccc3ccccc3c2)C1	35
1d3q	c1ccc2c(Cc3ccc(OCC[NH+]4CCCC4)cc3)c(-c3ccc(OCC[NH+]4CCCC4)cc3)sc2c1	38
1tbz	NC(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H]([NH3+])Cc1ccccc1)[C@H](O)c1nc2ccccc2s1	38
1d3p	Oc1ccc2c(Cc3ccc(OCC[NH+]4CCCC4)cc3)c(-c3ccc(OCC[NH+]4CCCC4)nc3)sc2c1	39
1sb1	Nc1nc2c(s1)C[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC1CCCCC1)NS(=O)(=O)Cc1ccccc1)CC2	39
1b5g	NC(N)NCCC[C@H](NC(=O)[C@@H]1CC[C@@H]2CC[C@]([NH3+])(Cc3ccccc3)C(=O)N12)[C@H](O)c1nc2ccccc2s1	40
2zfp	CC[C@@H]([NH3+])C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1	22
1ny2	NC(N)NCCC[C@H]([NH3+])C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)O	30
3bv9	Cc1ccc(C[C@H](NC(=O)[C@@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)[C@H]([NH3+])C/C=C\NC(N)N)C(N)=O)cc1	47
1z71	C[C@@H](NC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2cccc[n+]2O)[n+]1O)c1cccc(Cl)c1	33
1zgi	FC(F)(CNc1nccc2oc(Cc3ccccc3-n3cncn3)nc12)[C@H]1CCCC[NH2+]1	32
1ta2	[NH3+][C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1Cl)C(c1ccccc1)c1ccccc1	34
4uff	CN(CC(=O)NCc1ccc(C(N)N)cc1)C(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1	37
2c93	COc1cc(C)c(S(=O)(=O)NC[C@@H](O)[C@@H]([NH3+])Cc2ccccc2)c(C)c1C	27
2c8w	COc1ccc(S(=O)(=O)NC[C@@H](O)[C@H](Cc2ccccc2)[NH2+]Cc2cc(Cl)ccc2-n2cnnn2)cc1	37
2c8y	[NH3+][C@@H](Cc1ccccc1)[C@H](O)CNS(=O)(=O)c1ccc2ccccc2c1	26
2ank	NC(N)c1ccc(CNC(=O)C2(NC(=O)[C@@H](CC3CCCCC3)[NH2+]CC(=O)O)CCCC2)cn1	34
2anm	NC(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)[NH2+]CC(=O)O)cn1	33
1o0d	Cn1c(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)[NH2+]CC(=O)O)ccc1C(N)N	33
2zgx	CC[C@@H]([NH3+])C(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(N)N)cc1	24
2feq	NC(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)[NH2+]CC(=O)O)n1	32
4e7r	NC(N)c1cccc(C[C@H](NS(=O)(=O)c2cccc(-c3ccc(Cl)cc3Cl)c2)C(=O)N2CCC(CC[NH3+])CC2)c1	40
3dhk	[NH3+][C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1)C(c1ccccc1)c1ccccc1	33
2jh6	C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)CCc2ccc(Cl)s2)C1=O	28
1fpc	CCC1CCN(C(=O)[C@H](CCCNC(N)N)NS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	35
1w7g	NC(N)NCCC[C@H](NS(=O)(=O)c1cccc(C(F)(F)F)c1)C(=O)N1CC[NH+](CCC[NH3+])CC1	34
1a2c	CC(C)C[C@H](NC(=O)[C@H](O)Cc1ccc(O)cc1)C(=O)N1[C@H](C(=O)N[C@H](CO)CCCNC(N)N)C[C@@H]2CC[C@@H](O)C[C@@H]21	43
1riw	NC(N)n1ccc(CCNC(=O)[C@@H]2C[C@@H]3CC[C@@H](O)C[C@@H]3N2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](O)Cc2ccccc2)c1	45
1uvs	O=C(CNS(=O)(=O)C1CCCCC1)N[C@H](CCNc1ccncc1)C(=O)N1CCCCC1	32
2r2m	NC(N)NOCCNC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2ccccc2)c1F	30
1jwt	N[C@H](NO)N1CCC(CNC(=O)[C@@H]2CC[C@H]3CN(S(=O)(=O)Cc4ccccc4)CC(=O)N32)CC1	34
1k22	NC(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H]([NH2+]CC(=O)O)C2CCCCC2)cc1	31
1c4v	CC1=C[C@@H](C(=O)NC[C@H]2CC[C@H](C(N)N)CC2)n2c(=O)n(CC(c3ccccc3)c3ccccc3)c(=O)n2C1	39
1a46	[NH3+]CCCC[C@H](NC(=O)[C@@H]1CC[N@H+]2CC[C@@]([NH3+])(Cc3ccccc3)C(=O)N12)[C@H](O)C(=O)NC1CCCCC1	38
1d6w	Nc1ncc([C@H]2CC[C@H](NC(=O)[C@@H]3C=CCn4c(=O)n(CCS(=O)(=O)c5ccccc5)c(=O)n43)CC2)[nH]1	37
1d9i	[NH3+][C@H]1CC[C@H](CNC(=O)[C@@H]2C=CCn3c(=O)n(CCS(=O)(=O)c4ccccc4)c(=O)n32)CC1	33
1a61	NC(N)NCCC[C@H](NC(=O)[C@@H]1CC[N@H+]2CC[C@@]([NH3+])(Cc3ccccc3)C(=O)N12)[C@H](O)c1nccs1	36
1a5g	NC(N)NCCC[C@H](NC(=O)[C@@H]1CC[N@H+]2CC[C@@]([NH3+])(Cc3ccccc3)C(=O)N12)[C@H](O)C(=O)NCCc1ccccc1	42
1o5g	C[C@H]1CCCC[C@H]1Oc1cccc(-c2nc3cc(C(N)N)c(F)cc3[nH]2)c1O	28
1g37	CCCCOC(=O)[C@@H](O)[C@@H](NC(=O)[C@@H]1CC[C@H]2CN(S(=O)(=O)Cc3ccccc3)CC(=O)N21)[C@H]1CC[C@H]([NH3+])CC1	40
4loy	C[NH+]1CCN(C(=O)[C@H](CNC(=O)c2ccc(Cl)s2)NS(=O)(=O)c2cc(F)cc(N3CCCCC3=O)c2Cl)CC1	39
4lxb	C[NH+](C)[C@H]1CCN(C(=O)[C@H](CNC(=O)c2ccc(Cl)s2)NS(=O)(=O)c2cccc(N3CCCCC3=O)c2OC(F)F)C1	42
4bah	NC(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H]([NH2+]CC(=O)O)C2CCCCC2)cc1	31
3f68	CC(=O)N[C@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1	30
3sha	[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cnccc1Cl	27
1ghw	NC(N)c1ccc2[nH]c(-c3ccccc3O)nc2c1	19
1gj5	NC(N)c1ccc2nc(-c3cccc(-c4ccccc4)c3O)[nH]c2c1	25
1c4u	NC(N)[C@H]1CC[C@H](CNC(=O)[C@@H]2C=CCn3c(=O)n(CCS(=O)(=O)c4ccc(Br)cc4)c(=O)n32)CC1	36
4ayy	C[C@@H]1CCN(C(=O)[C@H](CC(=O)NC[C@@H]2CCCN(C(N)N)C2)NS(=O)(=O)c2ccc3ccccc3c2)[C@@H](C(=O)O)C1	41
3qto	C[n+]1cccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([NH3+])Cc2ccccc2)c1	27
3si3	[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1ccccn1	26
1ypj	CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc3c(c1)OCO3)[C@H](c1ccc(C(N)N)cc1)[N@@H+](C)C2(C)C	33
1oyt	NC(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCC[N@@H+]32)cc1	30
2cf9	COc1ccc(CN2C(=O)[C@H]3[C@H]([C@@H]4CCC[N@@H+]4[C@H]3c3ccc(C(N)N)cc3)[C@H]2C(C)C)cc1	33
1zgv	CCCCNc1cc(C)nc2[nH]c(Nc3cc(Cl)ccc3C)n[n+]12	24
2a2x	C[C@@H](C(=O)NCc1ccc(C(N)N)nc1)N(C)C(=O)[C@@H](CC1CCCCC1)[NH2+]CC(=O)O	32
2c8x	COc1cc(C)c(S(=O)(=O)NC[C@@H](O)[C@H](Cc2ccccc2)[NH2+]Cc2cccc(Cl)c2)c(C)c1C	35
4yes	Cc1ccc(C(=O)N2CCC[C@H]2C(=O)NCc2cc(Cl)ccc2C[NH3+])[nH]1	26
2jh0	C/C(=C\S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)c1ccc(Cl)s1	29
2gde	CO[C@H](COS(O)(O)O)C(=O)N[C@@H](C(=O)N1[C@H](C(=O)NCCC2=CCN(C(N)N)C2)C[C@@H]2C[C@H](O)[C@@H](O)C[C@@H]21)[C@H](Cl)C(C)C	44
2c90	Clc1ccc(-n2cnnn2)cc1	12
1awh	CC(=O)O[C@@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@H]([C@H](CO)CC(=O)C=C(C)C)[C@@H](O)C[C@]4(C)C3=CC[C@H]2[C@]1(C)C(=O)O	39
1tmb	NC(N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]([NH2+]CO)CNC(=O)/C=C/[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)C1=O	53
1awf	CC(=O)O[C@@H]1CC[C@]2(C)[C@H]3C[C@H](O)[C@@]4(C)[C@H]([C@H](C=O)CC(=O)C=C(C)C)[C@@H](O)C[C@]4(CO)C3=CC[C@H]2[C@]1(C)C(=O)O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O	52
1c1u	NC(N)c1ccc2nc(Cc3nc4ccccc4[nH]3)[nH]c2c1	22
1a4w	CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCCNC(N)N)C(=O)N3CCCC[C@@H]3CCC(=O)c3nccs3)cccc12	42
1lhf	CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCC[NH3+])B(O)O	32
4fgz	CC[NH+](CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	25
4dro	CC[C@H]1CCCC[C@]1(O)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1ccccc1	41
4jfm	COc1ccc(OCCOC(=O)[C@@H]2CCCCN2S(=O)(=O)c2ccc3[nH]c(=O)sc3c2)cc1OC	35
4drk	CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)O)c1	42
4drn	CC[C@@H]1CCCC[C@@]1(O)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)O)c1	46
4drp	CC[C@H]1CCCC[C@]1(O)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)O)c1	46
4drm	CC[C@@H]1CCCC[C@@]1(O)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)O)c1	46
4w9o	COc1ccc(OCCN2C[C@H]([C@@H](O)CO)[C@H]3CCC[C@@H](C2=O)N3S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1OC	39
4w9p	COc1ccc(OCCN2C[C@H]([C@H](O)CO)[C@H]3CCC[C@@H](C2=O)N3S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1OC	39
4jfk	COc1ccc(OCCN2CC[C@H]3CCC[C@@H](C2=O)N3S(=O)(=O)c2ccc3[nH]c(=O)sc3c2)cc1OC	37
4jfj	COc1ccc(OCCN2CC[C@H]3CCC[C@@H](C2=O)N3S(=O)(=O)c2ccc3ncsc3c2)cc1OC	36
4jfi	COc1cc2c(c(OC)c1)[C@@H]1[C@H]3CCC[C@@H](C(=O)N1CC2)N3C(=O)C(=O)c1cc(OC)c(OC)c(OC)c1	38
5dit	COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C2CCCCC2)[C@@H](C)O)c2cccc(OCC[NH+]3CCOCC3)c2)cc1OC	49
4tw7	COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)[C@H](c2cc(OC)c(OC)c(OC)c2)[C@@H]2C=CCCC2)c2cccc(OCC[NH+]3CCOCC3)c2)cc1OC	58
4tw6	C=CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)O)c1)c1cc(OC)c(OC)c(OC)c1	51
5div	COc1cc([C@@H](C(=O)N2CCCC[C@H]2C(=O)NC2(C(N)=O)CCCC2)C2CCCCC2)cc(OC)c1OC	38
3dbu	NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1	19
5llg	CCCSc1ccc(S(N)(=O)=O)cc1	14
6got	NS(=O)(=O)c1ccc(SCCc2ccccc2)cc1	19
