pdbid	uniprot_id_for_pdbid	uniprot_id	target_name_from_uniprot	target_name_from_pharos	target_family_from_pharos	target_chembl_id	uniprot_id_from_chembl	target_name_from_chembl	target_type_from_chembl
3g0f	P10721	P10721	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	Mast/stem cell growth factor receptor Kit	Kinase	CHEMBL1936	P10721	Stem cell growth factor receptor	SINGLE PROTEIN
3g0e	P10721	P10721	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	Mast/stem cell growth factor receptor Kit	Kinase	CHEMBL1936	P10721	Stem cell growth factor receptor	SINGLE PROTEIN
4hvs	P10721	P10721	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	Mast/stem cell growth factor receptor Kit	Kinase	CHEMBL1936	P10721	Stem cell growth factor receptor	SINGLE PROTEIN
4ly1	Q92769	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Histone deacetylase 2	Epigenetic	CHEMBL1937	Q92769	Histone deacetylase 2	SINGLE PROTEIN
3max	Q92769	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Histone deacetylase 2	Epigenetic	CHEMBL1937	Q92769	Histone deacetylase 2	SINGLE PROTEIN
4lxz	Q92769	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Histone deacetylase 2	Epigenetic	CHEMBL1937	Q92769	Histone deacetylase 2	SINGLE PROTEIN
5iwg	Q92769	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Histone deacetylase 2	Epigenetic	CHEMBL1937	Q92769	Histone deacetylase 2	SINGLE PROTEIN
5ix0	Q92769	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Histone deacetylase 2	Epigenetic	CHEMBL1937	Q92769	Histone deacetylase 2	SINGLE PROTEIN
6g3o	Q92769	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Histone deacetylase 2	Epigenetic	CHEMBL1937	Q92769	Histone deacetylase 2	SINGLE PROTEIN
4ask	O15054	O15054	Lysine-specific demethylase 6B (EC 1.14.11.68) (JmjC domain-containing protein 3) (Jumonji domain-containing protein 3) (Lysine demethylase 6B) ([histone H3]-trimethyl-L-lysine(27) demethylase 6B)	Lysine-specific demethylase 6B	Epigenetic	CHEMBL1938211	O15054	Lysine-specific demethylase 6B	SINGLE PROTEIN
5ko1	Q8NB16	Q8NB16	Mixed lineage kinase domain-like protein (hMLKL)	Mixed lineage kinase domain-like protein	Kinase	CHEMBL1938217	Q8NB16	Mixed lineage kinase domain-like protein	SINGLE PROTEIN
2bys	Q8WSF8	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified	CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
2w8g	Q8WSF8	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified	CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
2w8f	Q8WSF8	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified	CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
2y54	Q8WSF8	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified	CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
2y57	Q8WSF8	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified	CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
2y56	Q8WSF8	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified	CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
3c84	Q8WSF8	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified	CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
2yb9	P08473	P08473	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	Neprilysin	Enzyme	CHEMBL1944	P08473	Neprilysin	SINGLE PROTEIN
1r1j	P08473	P08473	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	Neprilysin	Enzyme	CHEMBL1944	P08473	Neprilysin	SINGLE PROTEIN
1r1i	P08473	P08473	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	Neprilysin	Enzyme	CHEMBL1944	P08473	Neprilysin	SINGLE PROTEIN
1q4x	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
1n46	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
1xzx	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
1nax	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
2j4a	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
1r6g	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
3gws	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
3jzc	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
3imy	P10828	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor	CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
3bl9	Q96C86	Q96C86	m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS)	m7GpppX diphosphatase	Enzyme	CHEMBL1949488	Q96C86	Scavenger mRNA-decapping enzyme DcpS	SINGLE PROTEIN
3bla	Q96C86	Q96C86	m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS)	m7GpppX diphosphatase	Enzyme	CHEMBL1949488	Q96C86	Scavenger mRNA-decapping enzyme DcpS	SINGLE PROTEIN
3bl7	Q96C86	Q96C86	m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS)	m7GpppX diphosphatase	Enzyme	CHEMBL1949488	Q96C86	Scavenger mRNA-decapping enzyme DcpS	SINGLE PROTEIN
1nmk	P62937	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme	CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
5t9w	P62937	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme	CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
6gjm	P62937	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme	CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
5ta2	P62937	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme	CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
5ta4	P62937	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme	CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
5t9u	P62937	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme	CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
5t9z	P62937	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme	CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
1i00	P04818	P04818	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase	Enzyme	CHEMBL1952	P04818	Thymidylate synthase	SINGLE PROTEIN
1hvy	P04818	P04818	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase	Enzyme	CHEMBL1952	P04818	Thymidylate synthase	SINGLE PROTEIN
3hb8	P04818	P04818	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase	Enzyme	CHEMBL1952	P04818	Thymidylate synthase	SINGLE PROTEIN
3h9k	P04818	P04818	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase	Enzyme	CHEMBL1952	P04818	Thymidylate synthase	SINGLE PROTEIN
1juj	P04818	P04818	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase	Enzyme	CHEMBL1952	P04818	Thymidylate synthase	SINGLE PROTEIN
3f5p	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
5hzn	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
3d94	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
3i81	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
3nw7	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
3qqu	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
3o23	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
4d2r	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
5fxq	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
5fxs	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
2zm3	P08069	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase	CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
6d6t	P14867,P18507,P47870	P14867	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gamma-aminobutyric acid receptor subunit alpha-1	Ion Channel	CHEMBL1962	P14867	GABA receptor alpha-1 subunit	SINGLE PROTEIN
6d6t	P14867,P18507,P47870	P14867	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gamma-aminobutyric acid receptor subunit alpha-1	Ion Channel	CHEMBL2094121	P14867,P18507,P28472	GABA-A receptor; alpha-1/beta-3/gamma-2	PROTEIN COMPLEX
6d6t	P14867,P18507,P47870	P14867	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gamma-aminobutyric acid receptor subunit alpha-1	Ion Channel	CHEMBL2095172	P14867,P47870,P18507	GABA-A receptor; alpha-1/beta-2/gamma-2	PROTEIN COMPLEX
6d6u	P14867,P18507,P47870	P14867	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gamma-aminobutyric acid receptor subunit alpha-1	Ion Channel	CHEMBL2094121	P14867,P18507,P28472	GABA-A receptor; alpha-1/beta-3/gamma-2	PROTEIN COMPLEX
1ie9	P11473	P11473	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	Vitamin D3 receptor	Nuclear Receptor	CHEMBL1977	P11473	Vitamin D receptor	SINGLE PROTEIN
1db1	P11473	P11473	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	Vitamin D3 receptor	Nuclear Receptor	CHEMBL1977	P11473	Vitamin D receptor	SINGLE PROTEIN
1s19	P11473	P11473	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	Vitamin D3 receptor	Nuclear Receptor	CHEMBL1977	P11473	Vitamin D receptor	SINGLE PROTEIN
3ekn	P06213	P06213	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	Insulin receptor	Kinase	CHEMBL1981	P06213	Insulin receptor	SINGLE PROTEIN
5ee7	P47871,P00720	P47871	Glucagon receptor (GL-R)	Glucagon receptor	GPCR	CHEMBL1985	P47871	Glucagon receptor	SINGLE PROTEIN
2aa6	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
5mwy	Q15788,P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
4uda	Q15788,P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
4udb	Q15788,P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
3vhu	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
3vhv	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
3wfg	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
3wff	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
4pf3	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
5hcv	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
5mwp	Q15788,P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
2oax	P08235	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor	CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
5tjx	P03952	P03952	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	Plasma kallikrein	Enzyme	CHEMBL2000	P03952	Plasma kallikrein	SINGLE PROTEIN
4ntj	Q9H244	Q9H244	P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999)	P2Y purinoceptor 12	GPCR	CHEMBL2001	Q9H244	Purinergic receptor P2Y12	SINGLE PROTEIN
1fcz	P13631	P13631	Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3)	Retinoic acid receptor gamma	Nuclear Receptor	CHEMBL2003	P13631	Retinoic acid receptor gamma	SINGLE PROTEIN
1fcy	P13631	P13631	Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3)	Retinoic acid receptor gamma	Nuclear Receptor	CHEMBL2003	P13631	Retinoic acid receptor gamma	SINGLE PROTEIN
1fd0	P13631	P13631	Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3)	Retinoic acid receptor gamma	Nuclear Receptor	CHEMBL2003	P13631	Retinoic acid receptor gamma	SINGLE PROTEIN
6bky	O75874	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Isocitrate dehydrogenase [NADP] cytoplasmic	Enzyme	CHEMBL2007625	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	SINGLE PROTEIN
6bl1	O75874	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Isocitrate dehydrogenase [NADP] cytoplasmic	Enzyme	CHEMBL2007625	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	SINGLE PROTEIN
6bkx	O75874	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Isocitrate dehydrogenase [NADP] cytoplasmic	Enzyme	CHEMBL2007625	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	SINGLE PROTEIN
6bl2	O75874	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Isocitrate dehydrogenase [NADP] cytoplasmic	Enzyme	CHEMBL2007625	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	SINGLE PROTEIN
5ovr	P54829	P54829	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP)	Tyrosine-protein phosphatase non-receptor type 5	Enzyme	CHEMBL2007628	P54829	Tyrosine-protein phosphatase non-receptor type 5	SINGLE PROTEIN
5ovx	P54829	P54829	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP)	Tyrosine-protein phosphatase non-receptor type 5	Enzyme	CHEMBL2007628	P54829	Tyrosine-protein phosphatase non-receptor type 5	SINGLE PROTEIN
5ow1	P54829	P54829	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP)	Tyrosine-protein phosphatase non-receptor type 5	Enzyme	CHEMBL2007628	P54829	Tyrosine-protein phosphatase non-receptor type 5	SINGLE PROTEIN
1xap	P10826	P10826	Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)	Retinoic acid receptor beta	Nuclear Receptor	CHEMBL2008	P10826	Retinoic acid receptor beta	SINGLE PROTEIN
6h1h	O00625	O00625	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	Pirin	Other	CHEMBL2010627	O00625	Pirin	SINGLE PROTEIN
6h1i	O00625	O00625	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	Pirin	Other	CHEMBL2010627	O00625	Pirin	SINGLE PROTEIN
1q1y	P68826	P68826	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	None	Unclassified	CHEMBL2010635	P68826	Peptide deformylase	SINGLE PROTEIN
5l9h	Q8WQX9	Q8WQX9	Phosphodiesterase (EC 3.1.4.-)	None	Unclassified	CHEMBL2010636	Q8WQX9	Class 1 phosphodiesterase PDEB1	SINGLE PROTEIN
5l8y	Q8WQX9	Q8WQX9	Phosphodiesterase (EC 3.1.4.-)	None	Unclassified	CHEMBL2010636	Q8WQX9	Class 1 phosphodiesterase PDEB1	SINGLE PROTEIN
5g57	Q8WQX9	Q8WQX9	Phosphodiesterase (EC 3.1.4.-)	None	Unclassified	CHEMBL2010636	Q8WQX9	Class 1 phosphodiesterase PDEB1	SINGLE PROTEIN
5l8c	Q8WQX9	Q8WQX9	Phosphodiesterase (EC 3.1.4.-)	None	Unclassified	CHEMBL2010636	Q8WQX9	Class 1 phosphodiesterase PDEB1	SINGLE PROTEIN
