"id","UniProt","Name","Family"
5133,"Q8TAQ9","SUN domain-containing protein 3","Other"
5134,"O15260","Surfeit locus protein 4","Other"
5135,"O60279","Sushi domain-containing protein 5","Other"
5136,"Q92537","Sushi domain-containing protein 6","Other"
5137,"Q9H0A9","Speriolin-like protein","Other"
5138,"Q9H9C1","Spermatogenesis-defective protein 39 homolog","Other"
5139,"Q8NBT2","Kinetochore protein Spc24","Other"
5140,"Q9UIV8","Serpin B13","Other"
5141,"Q9NUQ6","SPATS2-like protein","Other"
5142,"Q14515","SPARC-like protein 1","Other"
5143,"Q8N2E6","Prosalusin","Other"
5144,"Q96L03","Spermatogenesis-associated protein 17","Other"
5145,"Q9NZQ3","NCK-interacting protein with SH3 domain","Other"
5146,"Q99619","SPRY domain-containing SOCS box protein 2","Other"
5147,"Q8TCT6","Signal peptide peptidase-like 3","Enzyme"
5148,"Q8IVW8","Protein spinster homolog 2","Other"
5149,"Q6ZMD2","Protein spinster homolog 3","Other"
5150,"Q9NS26","Sperm protein associated with the nucleus on the X chromosome A","Other"
5151,"Q969W0","Serine palmitoyltransferase small subunit A","Enzyme"
5152,"P02549","Spectrin alpha chain, erythrocytic 1","Other"
5153,"Q8NEQ6","Steroid receptor-associated and regulated protein","Other"
5154,"O15269","Serine palmitoyltransferase 1","Enzyme"
5155,"Q5VSR9","Sperm protein associated with the nucleus on the X chromosome N1","Other"
5156,"Q7Z2R9","Putative uncharacterized protein SSBP3-AS1","Other"
5157,"Q9UHV2","SERTA domain-containing protein 1","Other"
5158,"Q9NUC0","SERTA domain-containing protein 4","Other"
5159,"Q9NZC2","Triggering receptor expressed on myeloid cells 2","Other"
5160,"Q14765","Signal transducer and activator of transcription 4","Transcription Factor"
5161,"P42226","Signal transducer and activator of transcription 6","Transcription Factor"
5162,"Q9Y6E0","Serine/threonine-protein kinase 24","Kinase"
5163,"Q8TDR2","Serine/threonine-protein kinase 35","Kinase"
5164,"Q9NRP7","Serine/threonine-protein kinase 36","Kinase"
5165,"Q15208","Serine/threonine-protein kinase 38","Kinase"
5166,"Q93045","Stathmin-2","Other"
5167,"Q8N2I9","Serine/threonine-protein kinase 40","Kinase"
5168,"P03979","T cell receptor gamma variable 3","Other"
5169,"Q13043","Serine/threonine-protein kinase 4","Kinase"
5170,"Q8TAV4","Stomatin-like protein 3","Other"
5171,"Q8NE28","Serine/threonine kinase-like domain-containing protein STKLD1","Kinase"
5172,"Q9UDY6","Tripartite motif-containing protein 10","Other"
5173,"Q96F44","E3 ubiquitin-protein ligase TRIM11","Enzyme"
5174,"Q9C0K7","STE20-related kinase adapter protein beta","Kinase"
5175,"Q15526","Surfeit locus protein 1","Other"
5176,"Q6UWL2","Sushi domain-containing protein 1","Other"
5177,"Q9UGT4","Sushi domain-containing protein 2","Other"
5178,"Q96L08","Sushi domain-containing protein 3","Other"
5179,"Q6PIF2","Synaptonemal complex central element protein 2","Other"
5180,"P14868","Aspartate--tRNA ligase, cytoplasmic","Enzyme"
5181,"P49589","Cysteine--tRNA ligase, cytoplasmic","Enzyme"
5182,"Q2VWA4","SKI family transcriptional corepressor 2","Other"
5183,"Q96K49","Transmembrane protein 87B","Other"
5184,"Q1XH10","SKI/DACH domain-containing protein 1","Other"
5185,"Q8TDI8","Transmembrane channel-like protein 1","Ion Channel"
5186,"Q7Z5M5","Transmembrane channel-like protein 3","Ion Channel"
5187,"Q7Z404","Transmembrane channel-like protein 4","Ion Channel"
5188,"A8MWV9","Small integral membrane protein 34A","Other"
5189,"Q8WU79","Stromal membrane-associated protein 2","Other"
5190,"P62314","Small nuclear ribonucleoprotein Sm D1","Other"
5191,"Q2TAY7","WD40 repeat-containing protein SMU1","Other"
5192,"Q9P0T7","Transmembrane protein 9","Other"
5193,"Q9H3U7","SPARC-related modular calcium-binding protein 2","Other"
5194,"Q8TEV8","Smith-Magenis syndrome chromosomal region candidate gene 5 protein","Other"
5195,"Q8TAD8","Smad nuclear-interacting protein 1","Other"
5196,"Q3KNW1","Zinc finger protein SNAI3","Transcription Factor"
5197,"Q9Y5W8","Sorting nexin-13","Other"
5198,"P48594","Serpin B4","Other"
5199,"Q96RJ3","Tumor necrosis factor receptor superfamily member 13C","Other"
5200,"Q309B1","Tripartite motif-containing protein 16-like protein","Other"
5201,"Q969Z4","Tumor necrosis factor receptor superfamily member 19L","Other"
5202,"Q13595","Transformer-2 protein homolog alpha","Other"
5203,"P62995","Transformer-2 protein homolog beta","Other"
5204,"P01848","T cell receptor alpha constant","Other"
5205,"O14545","TRAF-type zinc finger domain-containing protein 1","Other"
5206,"Q13077","TNF receptor-associated factor 1","Other"
5207,"Q12933","TNF receptor-associated factor 2","Other"
5208,"O00463","TNF receptor-associated factor 5","Other"
5209,"O60296","Trafficking kinesin-binding protein 2","Other"
5210,"Q15629","Translocating chain-associated membrane protein 1","Other"
5211,"P07204","Thrombomodulin","Other"
5212,"Q15633","RISC-loading complex subunit TARBP2","Other"
5213,"Q8IZU3","Synaptonemal complex protein 3","Other"
5214,"Q5VT97","Rho GTPase-activating protein SYDE2","Enzyme"
5215,"Q9NZI7","Upstream-binding protein 1","Transcription Factor"
5216,"O95164","Ubiquitin-like protein 3","Other"
5217,"Q6ZU65","Ubinuclein-2","Other"
5218,"Q92995","Ubiquitin carboxyl-terminal hydrolase 13","Enzyme"
5219,"P54578","Ubiquitin carboxyl-terminal hydrolase 14","Enzyme"
5220,"Q8N205","Nesprin-4","Other"
5221,"O43426","Synaptojanin-1","Other"
5222,"O94782","Ubiquitin carboxyl-terminal hydrolase 1","Enzyme"
5223,"Q8TBG9","Synaptoporin","Other"
5224,"Q9UK80","Ubiquitin carboxyl-terminal hydrolase 21","Enzyme"
5225,"Q16563","Synaptophysin-like protein 1","Other"
5226,"A6NNY8","Ubiquitin carboxyl-terminal hydrolase 27","Enzyme"
5227,"Q9HBJ7","Ubiquitin carboxyl-terminal hydrolase 29","Enzyme"
5228,"Q70CQ3","Ubiquitin carboxyl-terminal hydrolase 30","Enzyme"
5229,"Q86T82","Ubiquitin carboxyl-terminal hydrolase 37","Enzyme"
5230,"Q9Y6I4","Ubiquitin carboxyl-terminal hydrolase 3","Enzyme"
5231,"Q70EL1","Inactive ubiquitin carboxyl-terminal hydrolase 54","Enzyme"
5232,"P45974","Ubiquitin carboxyl-terminal hydrolase 5","Enzyme"
5233,"Q93009","Ubiquitin carboxyl-terminal hydrolase 7","Enzyme"
5234,"P40818","Ubiquitin carboxyl-terminal hydrolase 8","Enzyme"
5235,"Q5T4T6","Synaptonemal complex protein 2-like","Other"
5236,"Q6PI48","Aspartate--tRNA ligase, mitochondrial","Enzyme"
5237,"Q9HCS7","Pre-mRNA-splicing factor SYF1","Other"
5238,"P12081","Histidine--tRNA ligase, cytoplasmic","Enzyme"
5239,"Q9NSE4","Isoleucine--tRNA ligase, mitochondrial","Enzyme"
5240,"P57105","Synaptojanin-2-binding protein","Other"
5241,"O95363","Phenylalanine--tRNA ligase, mitochondrial","Enzyme"
5242,"Q15031","Probable leucine--tRNA ligase, mitochondrial","Enzyme"
5243,"P11441","Ubiquitin-like protein 4A","Other"
5244,"Q92797","Symplekin","Other"
5245,"P56192","Methionine--tRNA ligase, cytoplasmic","Enzyme"
5246,"P51784","Ubiquitin carboxyl-terminal hydrolase 11","Enzyme"
5247,"O75317","Ubiquitin carboxyl-terminal hydrolase 12","Enzyme"
5248,"Q9Y4E8","Ubiquitin carboxyl-terminal hydrolase 15","Enzyme"
5249,"O15061","Synemin","Other"
5250,"Q96I59","Probable asparagine--tRNA ligase, mitochondrial","Enzyme"
5251,"Q8N3V7","Synaptopodin","Other"
5252,"Q9UPT9","Ubiquitin carboxyl-terminal hydrolase 22","Enzyme"
5253,"Q9H987","Synaptopodin 2-like protein","Other"
5254,"Q9UHP3","Ubiquitin carboxyl-terminal hydrolase 25","Enzyme"
5255,"Q7L3T8","Probable proline--tRNA ligase, mitochondrial","Enzyme"
5256,"Q96RU2","Ubiquitin carboxyl-terminal hydrolase 28","Enzyme"
5257,"Q8NFA0","Ubiquitin carboxyl-terminal hydrolase 32","Enzyme"
5258,"Q9P2H5","Ubiquitin carboxyl-terminal hydrolase 35","Enzyme"
5259,"Q9P275","Ubiquitin carboxyl-terminal hydrolase 36","Enzyme"
5260,"P35125","Ubiquitin carboxyl-terminal hydrolase 6","Enzyme"
5261,"Q9UHD9","Ubiquilin-2","Other"
5262,"Q8IYU4","Ubiquilin-like protein","Other"
5263,"Q9Y4A5","Transformation/transcription domain-associated protein","Other"
5264,"Q9BRA2","Thioredoxin domain-containing protein 17","Other"
5265,"O95881","Thioredoxin domain-containing protein 12","Other"
5266,"P42681","Tyrosine-protein kinase TXK","Kinase"
5267,"P83876","Thioredoxin-like protein 4A","Other"
5268,"Q6A555","Thioredoxin domain-containing protein 8","Other"
5269,"C9JVI0","Ubiquitin carboxyl-terminal hydrolase 17-like protein 11","Enzyme"
5270,"Q01081","Splicing factor U2AF 35 kDa subunit","Other"
5271,"Q6R6M4","Ubiquitin carboxyl-terminal hydrolase 17","Enzyme"
5272,"Q7Z3V4","Ubiquitin-protein ligase E3B","Enzyme"
5273,"Q9BSL1","Ubiquitin-associated domain-containing protein 1","Other"
5274,"Q7Z7E8","Ubiquitin-conjugating enzyme E2 Q1","Other"
5275,"P63279","SUMO-conjugating enzyme UBC9","Other"
5276,"Q9Y5Z9","UbiA prenyltransferase domain-containing protein 1","Enzyme"
5277,"P25874","Mitochondrial brown fat uncoupling protein 1","Other"
5278,"Q96IX5","Up-regulated during skeletal muscle growth protein 5","Other"
5279,"Q9BRU9","rRNA-processing protein UTP23 homolog","Other"
5280,"Q9Y3A2","Probable U3 small nucleolar RNA-associated protein 11","Other"
5281,"P46939","Utrophin","Other"
5282,"O95399","Urotensin-2","Other"
5283,"Q9P2Y5","UV radiation resistance-associated gene protein","Other"
5284,"Q9UI12","V-type proton ATPase subunit H","Enzyme"
5285,"Q99437","V-type proton ATPase 21 kDa proteolipid subunit","Enzyme"
5286,"O95670","V-type proton ATPase subunit G 2","Enzyme"
5287,"O14599","Testis-specific basic protein Y 2","Other"
5288,"Q96JH7","Deubiquitinating protein VCIP135","Other"
5289,"P21796","Voltage-dependent anion-selective channel protein 1","Other"
5290,"P11473","Vitamin D3 receptor","Nuclear Receptor"
5291,"P49765","Vascular endothelial growth factor B","Other"
5292,"Q00341","Vigilin","Other"
5293,"O14604","Thymosin beta-4, Y-chromosomal","Other"
5294,"P62328","Thymosin beta-4","Other"
5295,"Q0WX57","Ubiquitin carboxyl-terminal hydrolase 17-like protein 24","Enzyme"
5296,"P0DN76","Splicing factor U2AF 35 kDa subunit-like protein","Other"
5297,"Q7RTZ2","Ubiquitin carboxyl-terminal hydrolase 17-like protein 1","Enzyme"
5298,"P55089","Urocortin","Other"
5299,"P67809","Nuclease-sensitive element-binding protein 1","Transcription Factor"
5300,"Q2YD98","UV-stimulated scaffold protein A","Other"
5301,"Q08AM6","Protein VAC14 homolog","Other"
5302,"P23763","Vesicle-associated membrane protein 1","Other"
5303,"Q15836","Vesicle-associated membrane protein 3","Other"
5304,"O75379","Vesicle-associated membrane protein 4","Other"
5305,"P51809","Vesicle-associated membrane protein 7","Other"
5306,"Q8TAA9","Vang-like protein 1","Other"
5307,"Q9ULK5","Vang-like protein 2","Other"
5308,"Q15904","V-type proton ATPase subunit S1","Enzyme"
5309,"P38606","V-type proton ATPase catalytic subunit A","Enzyme"
5310,"P15313","V-type proton ATPase subunit B, kidney isoform","Enzyme"
5311,"P21281","V-type proton ATPase subunit B, brain isoform","Enzyme"
5312,"C9J2P7","Ubiquitin carboxyl-terminal hydrolase 17-like protein 15","Enzyme"
5313,"Q53H54","tRNA wybutosine-synthesizing protein 2 homolog","Enzyme"
5314,"D6R901","Ubiquitin carboxyl-terminal hydrolase 17-like protein 21","Enzyme"
5315,"D6RBM5","Putative ubiquitin carboxyl-terminal hydrolase 17-like protein 23","Enzyme"
5316,"P26368","Splicing factor U2AF 65 kDa subunit","Other"
5317,"Q9Y2X8","Ubiquitin-conjugating enzyme E2 D4","Other"
5318,"Q96RP3","Urocortin-2","Other"
5319,"Q8N6Y0","Usher syndrome type-1C protein-binding protein 1","Other"
5320,"O60763","General vesicular transport factor p115","Other"
5321,"Q15853","Upstream stimulatory factor 2","Transcription Factor"
5322,"Q5TAP6","U3 small nucleolar RNA-associated protein 14 homolog C","Other"
5323,"Q969X6","U3 small nucleolar RNA-associated protein 4 homolog","Other"
5324,"Q765I0","Urotensin-2B","Other"
5325,"Q9NYH9","U3 small nucleolar RNA-associated protein 6 homolog","Other"
5326,"O14607","Histone demethylase UTY","Epigenetic"
5327,"P58557","Endoribonuclease YbeY","Enzyme"
5328,"Q9Y2T7","Y-box-binding protein 2","Transcription Factor"
5329,"P16989","Y-box-binding protein 3","Transcription Factor"
5330,"Q6ZUG5","Uncharacterized protein FLJ43738","Other"
5331,"Q1RN00","Putative uncharacterized protein LOC151760","Other"
5332,"Q0VG73","Putative uncharacterized protein LOC152225","Other"
5333,"Q9UBK9","Protein UXT","Other"
5334,"P37288","Vasopressin V1a receptor","GPCR"
5335,"Q9BTM9","Ubiquitin-related modifier 1","Other"
5336,"Q9BQ65","U6 snRNA phosphodiesterase","Enzyme"
5337,"Q68DE3","Basic helix-loop-helix domain-containing protein USF3","Transcription Factor"
5338,"O00507","Probable ubiquitin carboxyl-terminal hydrolase FAF-Y","Enzyme"
5339,"Q9Y5J1","U3 small nucleolar RNA-associated protein 18 homolog","Other"
5340,"Q15849","Urea transporter 2","Transporter"
5341,"P11684","Uteroglobin","Other"
5342,"Q8TED0","U3 small nucleolar RNA-associated protein 15 homolog","Other"
5343,"Q6EMK4","Vasorin","Other"
5344,"Q86V25","Tubulinyl-Tyr carboxypeptidase 2","Other"
5345,"Q9Y5K8","V-type proton ATPase subunit D","Enzyme"
5346,"P27449","V-type proton ATPase 16 kDa proteolipid subunit","Enzyme"
5347,"Q9Y277","Voltage-dependent anion-selective channel protein 3","Other"
5348,"O15195","Villin-like protein","Other"
5349,"Q8IWF7","Putative ubiquitin-conjugating enzyme E2 D2-like protein","Other"
5350,"H0YL09","Putative ubiquitin-conjugating enzyme E2Q2-like protein","Other"
5351,"A6NCW7","Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4","Enzyme"
5352,"Q15819","Ubiquitin-conjugating enzyme E2 variant 2","Other"
5353,"A6NN06","Putative UPF0633 protein MGC21881","Other"
5354,"Q96LR5","Ubiquitin-conjugating enzyme E2 E2","Other"
5355,"Q8NBM4","Ubiquitin-associated domain-containing protein 2","Other"
5356,"P51668","Ubiquitin-conjugating enzyme E2 D1","Other"
5357,"P41226","Ubiquitin-like modifier-activating enzyme 7","Other"
5358,"Q8WVN8","Ubiquitin-conjugating enzyme E2 Q2","Other"
5359,"Q9C0C9","(E3-independent) E2 ubiquitin-conjugating enzyme","Other"
5360,"Q13336","Urea transporter 1","Transporter"
5361,"O75691","Small subunit processome component 20 homolog","Other"
5362,"P35916","Vascular endothelial growth factor receptor 3","Kinase"
5363,"O15240","Neurosecretory protein VGF","Other"
5364,"Q99990","Transcription cofactor vestigial-like protein 1","Other"
5365,"Q8N8G2","Transcription cofactor vestigial-like protein 2","Other"
5366,"Q14135","Transcription cofactor vestigial-like protein 4","Other"
5367,"P07947","Tyrosine-protein kinase Yes","Kinase"
5368,"Q9P2U8","Vesicular glutamate transporter 2","Transporter"
5369,"Q8NDX2","Vesicular glutamate transporter 3","Transporter"
5370,"O95619","YEATS domain-containing protein 4","Other"
5371,"Q8N1X5","Uncharacterized protein FLJ37310","Other"
5372,"Q6UWF5","Putative uncharacterized protein UNQ5815/PRO19632","Other"
5373,"Q6ZS52","Putative uncharacterized protein FLJ45825","Other"
5374,"A6NL46","Putative UPF0607 protein ENSP00000332738","Other"
5375,"Q6RSH7","von Hippel-Lindau-like protein","Other"
5376,"P40337","von Hippel-Lindau disease tumor suppressor","Enzyme"
5377,"Q9H598","Vesicular inhibitory amino acid transporter","Transporter"
5378,"P18206","Vinculin","Other"
5379,"Q7Z5H5","Vomeronasal type-1 receptor 4","GPCR"
5380,"Q96AW1","Vesicular, overexpressed in cancer, prosurvival protein 1","Other"
5381,"P59090","Putative uncharacterized protein TSPEAR-AS2","Other"
5382,"Q86VQ3","Thioredoxin domain-containing protein 2","Other"
5383,"Q8N3L3","Beta-taxilin","Other"
5384,"Q86XW9","Thioredoxin domain-containing protein 6","Other"
5385,"O43914","TYRO protein tyrosine kinase-binding protein","Enzyme"
5386,"Q9NV66","S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase","Enzyme"
5387,"A2RUC4","tRNA wybutosine-synthesizing protein 5","Other"
5388,"A6NCW0","Ubiquitin carboxyl-terminal hydrolase 17-like protein 3","Enzyme"
5389,"P51965","Ubiquitin-conjugating enzyme E2 E1","Other"
5390,"Q05086","Ubiquitin-protein ligase E3A","Enzyme"
5391,"O14933","Ubiquitin/ISG15-conjugating enzyme E2 L6","Other"
5392,"Q9BRT2","Ubiquinol-cytochrome-c reductase complex assembly factor 2","Enzyme"
5393,"P07911","Uromodulin","Other"
5394,"Q86UX7","Fermitin family homolog 3","Other"
5395,"Q3KQV9","UDP-N-acetylhexosamine pyrophosphorylase-like protein 1","Enzyme"
5396,"Q9Y385","Ubiquitin-conjugating enzyme E2 J1","Other"
5397,"Q969M7","NEDD8-conjugating enzyme UBE2F","Other"
5398,"P68036","Ubiquitin-conjugating enzyme E2 L3","Other"
5399,"A0A1B0GUS4","Ubiquitin-conjugating enzyme E2 L5","Other"
5400,"P49459","Ubiquitin-conjugating enzyme E2 A","Other"
5401,"Q5VVX9","Ubiquitin-conjugating enzyme E2 U","Other"
5402,"Q96HZ7","Putative uncharacterized protein URB1-AS1","Other"
5403,"Q96BW1","Uracil phosphoribosyltransferase homolog","Enzyme"
5404,"Q9NRH1","Protein YAE1 homolog","Other"
5405,"Q8N2B8","Putative uncharacterized protein FLJ33534","Other"
5406,"A8MTW9","Putative uncharacterized protein ENSP00000380674","Other"
5407,"Q86TA4","Putative uncharacterized protein FLJ44553","Other"
5408,"Q6BDS2","UHRF1-binding protein 1","Other"
5409,"Q8TCY9","Up-regulator of cell proliferation","Other"
5410,"Q5DID0","Uromodulin-like 1","Other"
5411,"Q9NZ43","Vesicle transport protein USE1","Other"
5412,"P22415","Upstream stimulatory factor 1","Transcription Factor"
5413,"P40126","L-dopachrome tautomerase","Enzyme"
5414,"D6RJB6","Ubiquitin carboxyl-terminal hydrolase 17-like protein 20","Enzyme"
5415,"D6RA61","Ubiquitin carboxyl-terminal hydrolase 17-like protein 22","Enzyme"
5416,"Q15695","Putative U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1","Other"
5417,"Q5XG85","Putative UPF0633 protein LOC554249","Other"
5418,"Q8TB05","UBA-like domain-containing protein 1","Other"
5419,"P61077","Ubiquitin-conjugating enzyme E2 D3","Other"
5420,"Q6UW78","Ubiquinol-cytochrome-c reductase complex assembly factor 3","Enzyme"
5421,"P46937","Transcriptional coactivator YAP1","Other"
5422,"Q6UY13","Putative uncharacterized protein UNQ5830/PRO19650/PRO19816","Other"
5423,"A8MUA0","Putative UPF0607 protein ENSP00000381514","Other"
5424,"Q9Y6N9","Harmonin","Other"
5425,"Q5T230","Undifferentiated embryonic cell transcription factor 1","Other"
5426,"Q9NUQ3","Gamma-taxilin","Other"
5427,"P19971","Thymidine phosphorylase","Enzyme"
5428,"P07101","Tyrosine 3-monooxygenase","Enzyme"
5429,"O14530","Thioredoxin domain-containing protein 9","Other"
5430,"Q06418","Tyrosine-protein kinase receptor TYRO3","Kinase"
5431,"P29597","Non-receptor tyrosine-protein kinase TYK2","Kinase"
5432,"P0C7I0","Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 8","Enzyme"
5433,"C9JJH3","Ubiquitin carboxyl-terminal hydrolase 17-like protein 10","Enzyme"
5434,"O75643","U5 small nuclear ribonucleoprotein 200 kDa helicase","Enzyme"
5435,"Q5VV11","Putative UPF0633 protein ENSP00000303136","Other"
5436,"P60604","Ubiquitin-conjugating enzyme E2 G2","Other"
5437,"Q15386","Ubiquitin-protein ligase E3C","Enzyme"
5438,"O00762","Ubiquitin-conjugating enzyme E2 C","Other"
5439,"O94900","Thymocyte selection-associated high mobility group box protein TOX","Transcription Factor"
5440,"Q86SZ2","Trafficking protein particle complex subunit 6B","Other"
5441,"Q8WWH5","Probable tRNA pseudouridine synthase 1","Enzyme"
5442,"Q8NET8","Transient receptor potential cation channel subfamily V member 3","Ion Channel"
5443,"Q9BZA5","Putative gamma-taxilin 2","Other"
5444,"P04818","Thymidylate synthase","Enzyme"
5445,"C9JLJ4","Ubiquitin carboxyl-terminal hydrolase 17-like protein 13","Enzyme"
5446,"D6R9N7","Ubiquitin carboxyl-terminal hydrolase 17-like protein 18","Enzyme"
5447,"D6RCP7","Ubiquitin carboxyl-terminal hydrolase 17-like protein 19","Enzyme"
5448,"A6NIH7","Protein unc-119 homolog B","Other"
5449,"Q16222","UDP-N-acetylhexosamine pyrophosphorylase","Enzyme"
5450,"P62253","Ubiquitin-conjugating enzyme E2 G1","Other"
5451,"Q8N2K1","Ubiquitin-conjugating enzyme E2 J2","Other"
5452,"Q8WVY7","Ubiquitin-like domain-containing CTD phosphatase 1","Enzyme"
5453,"A0AVT1","Ubiquitin-like modifier-activating enzyme 6","Other"
5454,"Q7Z6J8","E3 ubiquitin-protein ligase E3D","Enzyme"
5455,"Q14146","Unhealthy ribosome biogenesis protein 2 homolog","Other"
5456,"Q16666","Gamma-interferon-inducible protein 16","Other"
5457,"Q9NZI8","Insulin-like growth factor 2 mRNA-binding protein 1","Other"
5458,"P46199","Translation initiation factor IF-2, mitochondrial","Other"
5459,"P63241","Eukaryotic translation initiation factor 5A-1","Other"
5460,"P48163","NADP-dependent malic enzyme","Other"
5461,"P42679","Megakaryocyte-associated tyrosine-protein kinase","Kinase"
5462,"P01571","Interferon alpha-17","Other"
5463,"P78344","Eukaryotic translation initiation factor 4 gamma 2","Other"
5464,"P05014","Interferon alpha-4","Other"
5465,"P05000","Interferon omega-1","Other"
5466,"P01567","Interferon alpha-7","Other"
5467,"P09914","Interferon-induced protein with tetratricopeptide repeats 1","Other"
5468,"Q96LB3","Intraflagellar transport protein 74 homolog","Other"
5469,"P01859","Immunoglobulin heavy constant gamma 2","Other"
5470,"P01871","Immunoglobulin heavy constant mu","Other"
5471,"Q6K0P9","Pyrin and HIN domain-containing protein 1","Other"
5472,"P01591","Immunoglobulin J chain","Other"
5473,"P0DOX7","Immunoglobulin kappa light chain","Other"
5474,"Q9UBC1","NF-kappa-B inhibitor-like protein 1","Other"
5475,"P35225","Interleukin-13","Other"
5476,"P24001","Interleukin-32","Other"
5477,"P14778","Interleukin-1 receptor type 1","Other"
5478,"Q9HB29","Interleukin-1 receptor-like 2","Other"
5479,"Q12906","Interleukin enhancer-binding factor 3","Other"
5480,"P0C7M6","IQ domain-containing protein F3","Other"
5481,"Q86VS3","IQ domain-containing protein H","Other"
5482,"Q9NWZ3","Interleukin-1 receptor-associated kinase 4","Kinase"
5483,"Q9UPP2","IQ motif and SEC7 domain-containing protein 3","Other"
5484,"P46940","Ras GTPase-activating-like protein IQGAP1","Enzyme"
5485,"O14498","Immunoglobulin superfamily containing leucine-rich repeat protein","Other"
5486,"A4D126","D-ribitol-5-phosphate cytidylyltransferase","Enzyme"
5487,"Q9Y2N7","Hypoxia-inducible factor 3-alpha","Other"
5488,"P30511","HLA class I histocompatibility antigen, alpha chain F","Other"
5489,"P17096","High mobility group protein HMG-I/HMG-Y","Transcription Factor"
5490,"P55795","Heterogeneous nuclear ribonucleoprotein H2","Other"
5491,"P0C7T4","Minor histocompatibility protein HMSD variant form","Other"
5492,"Q86YZ3","Hornerin","Other"
5493,"Q9P2W1","Homologous-pairing protein 2 homolog","Other"
5494,"Q9H3N8","Histamine H4 receptor","GPCR"
5495,"Q9Y662","Heparan sulfate glucosamine 3-O-sulfotransferase 3B1","Enzyme"
5496,"P0DMV8","Heat shock 70 kDa protein 1A","Other"
5497,"P07900","Heat shock protein HSP 90-alpha","Other"
5498,"Q96RP7","Galactose-3-O-sulfotransferase 4","Enzyme"
5499,"P01358","Gastric juice peptide 1","Other"
5500,"Q4V321","G antigen 13","Other"
5501,"P43694","Transcription factor GATA-4","Transcription Factor"
5502,"Q9Y2F5","Little elongation complex subunit 1","Other"
5503,"Q659A1","Little elongation complex subunit 2","Other"
5504,"Q8WWN9","Interactor protein for cytohesin exchange factors 1","Other"
5505,"Q9UPZ9","Serine/threonine-protein kinase ICK","Kinase"
5506,"P54105","Methylosome subunit pICln","Other"
5507,"O60725","Protein-S-isoprenylcysteine O-methyltransferase","Enzyme"
5508,"O75144","ICOS ligand","Other"
5509,"Q9Y6W8","Inducible T-cell costimulator","Other"
5510,"Q14197","Peptidyl-tRNA hydrolase ICT1, mitochondrial","Enzyme"
5511,"P41134","DNA-binding protein inhibitor ID-1","Transcription Factor"
5512,"Q14602","Putative DNA-binding protein inhibitor ID-2B","Other"
5513,"Q02363","DNA-binding protein inhibitor ID-2","Transcription Factor"
5514,"Q02535","DNA-binding protein inhibitor ID-3","Transcription Factor"
5515,"P47928","DNA-binding protein inhibitor ID-4","Transcription Factor"
5516,"Q9NZ38","Uncharacterized protein IDI2-AS1","Other"
5517,"P98153","Integral membrane protein DGCR2/IDD","Other"
5518,"P14735","Insulin-degrading enzyme","Enzyme"
5519,"Q9BX51","Glutathione hydrolase light chain 1","Enzyme"
5520,"B5MD39","Putative glutathione hydrolase light chain 3","Enzyme"
5521,"O75420","GRB10-interacting GYF protein 1","Other"
5522,"Q02643","Growth hormone-releasing hormone receptor","GPCR"
5523,"Q7Z4J2","Putative glycosyltransferase 6 domain-containing protein 1","Enzyme"
5524,"O94923","D-glucuronyl C5-epimerase","Enzyme"
5525,"A2PYH4","Probable ATP-dependent DNA helicase HFM1","Enzyme"
5526,"P60008","Spermatid-specific linker histone H1-like protein","Other"
5527,"Q93099","Homogentisate 1,2-dioxygenase","Enzyme"
5528,"Q9H422","Homeodomain-interacting protein kinase 3","Kinase"
5529,"Q9BW72","HIG1 domain family member 2A, mitochondrial","Other"
5530,"P13747","HLA class I histocompatibility antigen, alpha chain E","Other"
5531,"O15347","High mobility group protein B3","Transcription Factor"
5532,"P52926","High mobility group protein HMGI-C","Transcription Factor"
5533,"P05114","Non-histone chromosomal protein HMG-14","Other"
5534,"O75330","Hyaluronan mediated motility receptor","Other"
5535,"P0CJ77","Humanin-like 10","Other"
5536,"P0CJ68","Humanin-like 1","Other"
5537,"Q9NSB8","Homer protein homolog 2","Other"
5538,"Q6UXD1","Histidine-rich carboxyl terminus protein 1","Other"
5539,"Q8IWL3","Iron-sulfur cluster co-chaperone protein HscB, mitochondrial","Other"
5540,"Q3SXM5","Inactive hydroxysteroid dehydrogenase-like protein 1","Enzyme"
5541,"Q6YN16","Hydroxysteroid dehydrogenase-like protein 2","Enzyme"
5542,"Q9ULV5","Heat shock factor protein 4","Transcription Factor"
5543,"Q4G112","Heat shock factor protein 5","Transcription Factor"
5544,"P31273","Homeobox protein Hox-C8","Transcription Factor"
5545,"Q92826","Homeobox protein Hox-B13","Transcription Factor"
5546,"P17481","Homeobox protein Hox-B8","Transcription Factor"
5547,"O43364","Homeobox protein Hox-A2","Transcription Factor"
5548,"A0A0B4J1U7","Immunoglobulin heavy variable 6-1","Other"
5549,"P31267","Homeobox protein Hox-A6","Transcription Factor"
5550,"P34913","Bifunctional epoxide hydrolase 2","Enzyme"
5551,"Q9H1B7","Interferon regulatory factor 2-binding protein-like","Other"
5552,"O95256","Interleukin-18 receptor accessory protein","Other"
